rep,alp,num_cell,cell_size,sparse_freq,error
0,0.01,32,50,2,103.415893271047
0,0.01,32,50,4,110.57549815435489
0,0.01,32,50,6,108.68586218171889
0,0.01,32,50,8,106.75010983106337
0,0.01,32,100,2,102.36314601063143
0,0.01,32,100,4,111.05537744630473
0,0.01,32,100,6,110.16214741388875
0,0.01,32,100,8,106.4482451753406
0,0.01,32,200,2,102.88342093097273
0,0.01,32,200,4,110.292547134288
0,0.01,32,200,6,107.52014673983687
0,0.01,32,200,8,107.22744919373818
0,0.01,56,50,2,93.20881665894169
0,0.01,56,50,4,100.33319258653606
0,0.01,56,50,6,97.93698727608016
0,0.01,56,50,8,95.61356402062074
0,0.01,56,100,2,92.44336965004379
0,0.01,56,100,4,99.61945814851121
0,0.01,56,100,6,97.37382998271625
0,0.01,56,100,8,95.08313420436735
0,0.01,56,200,2,92.92782406953047
0,0.01,56,200,4,99.82533354594821
0,0.01,56,200,6,96.80221233046667
0,0.01,56,200,8,95.2603725883058
0,0.01,80,50,2,80.57141828633546
0,0.01,80,50,4,79.76543458921476
0,0.01,80,50,6,74.91374457420447
0,0.01,80,50,8,71.8551320090132
0,0.01,80,100,2,79.14030060320361
0,0.01,80,100,4,80.17138200666673
0,0.01,80,100,6,75.10570675720987
0,0.01,80,100,8,71.43310399851593
0,0.01,80,200,2,79.14984519398745
0,0.01,80,200,4,79.69457588644421
0,0.01,80,200,6,74.92668764888577
0,0.01,80,200,8,72.12618570658856
0,0.01,104,50,2,61.971768873650056
0,0.01,104,50,4,54.20911635415613
0,0.01,104,50,6,48.001640411002796
0,0.01,104,50,8,43.24605471747346
0,0.01,104,100,2,63.15431807638426
0,0.01,104,100,4,53.961954454355485
0,0.01,104,100,6,47.31636009443953
0,0.01,104,100,8,47.55835720872901
0,0.01,104,200,2,62.39907619941798
0,0.01,104,200,4,56.130745132804165
0,0.01,104,200,6,49.067076529124805
0,0.01,104,200,8,46.017489923014026
0,0.01,128,50,2,41.02030274664922
0,0.01,128,50,4,32.56492227927805
0,0.01,128,50,6,30.736854534655468
0,0.01,128,50,8,29.09322841025132
0,0.01,128,100,2,41.31208544824688
0,0.01,128,100,4,30.586332175873924
0,0.01,128,100,6,28.586673715623775
0,0.01,128,100,8,28.499333691755382
0,0.01,128,200,2,41.21012532523153
0,0.01,128,200,4,31.748598803742137
0,0.01,128,200,6,27.723345903426857
0,0.01,128,200,8,29.37709128869345
0,0.1,32,50,2,49.05028538363279
0,0.1,32,50,4,51.18551531287185
0,0.1,32,50,6,50.56350261887148
0,0.1,32,50,8,50.38103064700002
0,0.1,32,100,2,48.31111847751596
0,0.1,32,100,4,50.20026255383166
0,0.1,32,100,6,51.15272818381218
0,0.1,32,100,8,50.0522676790662
0,0.1,32,200,2,48.87047105181631
0,0.1,32,200,4,51.25666140551822
0,0.1,32,200,6,50.95152413556498
0,0.1,32,200,8,50.5232121214965
0,0.1,56,50,2,35.71181673725509
0,0.1,56,50,4,35.06817281870456
0,0.1,56,50,6,34.44305369601386
0,0.1,56,50,8,34.728888706009506
0,0.1,56,100,2,36.055935214224625
0,0.1,56,100,4,34.48956102197483
0,0.1,56,100,6,34.70117539275746
0,0.1,56,100,8,34.52369313124907
0,0.1,56,200,2,36.0155513340658
0,0.1,56,200,4,34.84642247099549
0,0.1,56,200,6,34.45512650746277
0,0.1,56,200,8,34.694198154145056
0,0.1,80,50,2,29.171047107000593
0,0.1,80,50,4,28.973315557142907
0,0.1,80,50,6,29.543564133355
0,0.1,80,50,8,30.14710004281027
0,0.1,80,100,2,29.156002064066726
0,0.1,80,100,4,28.969494461320558
0,0.1,80,100,6,29.47102530019736
0,0.1,80,100,8,30.08473306571381
0,0.1,80,200,2,29.21499103703346
0,0.1,80,200,4,28.969602438556144
0,0.1,80,200,6,29.561884480494236
0,0.1,80,200,8,30.084022859260102
0,0.1,104,50,2,24.778682311140276
0,0.1,104,50,4,25.814226143598074
0,0.1,104,50,6,27.082228167555403
0,0.1,104,50,8,27.827373650853204
0,0.1,104,100,2,24.75928808541518
0,0.1,104,100,4,25.774423368203195
0,0.1,104,100,6,26.975352092492066
0,0.1,104,100,8,27.849370078833772
0,0.1,104,200,2,24.66775341045657
0,0.1,104,200,4,25.80110142153255
0,0.1,104,200,6,27.009961798314997
0,0.1,104,200,8,27.857838158785825
0,0.1,128,50,2,21.317663557271366
0,0.1,128,50,4,23.879822089268938
0,0.1,128,50,6,25.55235615297074
0,0.1,128,50,8,26.468664464170566
0,0.1,128,100,2,21.37168367771278
0,0.1,128,100,4,23.9479799760665
0,0.1,128,100,6,25.496118287486276
0,0.1,128,100,8,26.469626311981575
0,0.1,128,200,2,21.374451925824776
0,0.1,128,200,4,23.833755738398768
0,0.1,128,200,6,25.52728046388961
0,0.1,128,200,8,26.44531502434903
0,1.0,32,50,2,39.26715208788717
0,1.0,32,50,4,38.62212378400699
0,1.0,32,50,6,38.69224339310792
0,1.0,32,50,8,38.895761864052844
0,1.0,32,100,2,39.437190808808644
0,1.0,32,100,4,38.409388290575535
0,1.0,32,100,6,38.71694525822219
0,1.0,32,100,8,38.82049979358371
0,1.0,32,200,2,39.4964615890824
0,1.0,32,200,4,38.63307564764398
0,1.0,32,200,6,38.83039278895189
0,1.0,32,200,8,38.89017943345038
0,1.0,56,50,2,32.92867072403403
0,1.0,56,50,4,33.5025388410366
0,1.0,56,50,6,34.37312811176405
0,1.0,56,50,8,34.981443172410145
0,1.0,56,100,2,32.81299379976279
0,1.0,56,100,4,33.55049080411524
0,1.0,56,100,6,34.42917339927044
0,1.0,56,100,8,35.01999153307034
0,1.0,56,200,2,32.949128908443015
0,1.0,56,200,4,33.46680137738881
0,1.0,56,200,6,34.39959131264217
0,1.0,56,200,8,35.036679149189105
0,1.0,80,50,2,28.82703190413643
0,1.0,80,50,4,31.018491767209625
0,1.0,80,50,6,32.39041395252035
0,1.0,80,50,8,33.21071271297574
0,1.0,80,100,2,28.76584454006646
0,1.0,80,100,4,31.054235759784326
0,1.0,80,100,6,32.36172089300095
0,1.0,80,100,8,33.19916554976471
0,1.0,80,200,2,28.740690233281615
0,1.0,80,200,4,30.95133863028531
0,1.0,80,200,6,32.318994042916074
0,1.0,80,200,8,33.262962338668835
0,1.0,104,50,2,26.410777192587574
0,1.0,104,50,4,29.644272728110792
0,1.0,104,50,6,31.249398736891504
0,1.0,104,50,8,32.34969074036589
0,1.0,104,100,2,26.50271880400021
0,1.0,104,100,4,29.607354168135362
0,1.0,104,100,6,31.24277199124267
