rep,alp,num_cell,error
0,0.01,8,25.244787830194824
0,0.01,14,21.48667299499955
0,0.01,20,18.799864926766055
0,0.01,26,16.813792012427125
0,0.01,32,14.860693198217335
0,0.1,8,23.16531289442433
0,0.1,14,17.692156067648213
0,0.1,20,14.559249580663517
0,0.1,26,12.158005614610579
0,0.1,32,10.1270859064945
0,1.0,8,39.954846836980884
0,1.0,14,22.250599713762107
0,1.0,20,16.7433656677586
0,1.0,26,13.397912053517848
0,1.0,32,10.696976771136615
0,10.0,8,48.121704900319436
0,10.0,14,23.474640006818145
0,10.0,20,17.351021227065292
0,10.0,26,14.027018361366304
0,10.0,32,12.01528799231754
1,0.01,8,25.264340851091617
1,0.01,14,21.475658832076107
1,0.01,20,18.902612459180936
1,0.01,26,16.78646843326307
1,0.01,32,14.864529298373595
1,0.1,8,22.96791442596853
1,0.1,14,17.631772302614674
1,0.1,20,14.603105768623317
1,0.1,26,12.159360512180957
1,0.1,32,10.22888409029382
1,1.0,8,40.1173412108332
1,1.0,14,22.119989032432223
1,1.0,20,16.676275357226476
1,1.0,26,13.224687113242569
1,1.0,32,10.786975169758586
1,10.0,8,47.20576360071368
1,10.0,14,23.341336657928565
1,10.0,20,17.152287371270642
1,10.0,26,14.143630577726125
1,10.0,32,11.895197506740493
2,0.01,8,25.121412789773572
2,0.01,14,21.545036077002194
2,0.01,20,18.751571385976145
2,0.01,26,16.750340700243047
2,0.01,32,14.86325250489993
2,0.1,8,22.893366376748933
2,0.1,14,17.686470244393327
2,0.1,20,14.555061372387101
2,0.1,26,12.20915325306134
2,0.1,32,10.145965909515986
2,1.0,8,40.69968111255387
2,1.0,14,22.234091482814453
2,1.0,20,16.68446956935674
2,1.0,26,13.334389899035209
2,1.0,32,10.649008161180765
2,10.0,8,49.54264797632298
2,10.0,14,22.929333472565087
2,10.0,20,17.26127631886617
2,10.0,26,13.98805940138411
2,10.0,32,11.95334775629856
3,0.01,8,25.098984035888567
3,0.01,14,21.584586776019222
3,0.01,20,18.898004824166716
3,0.01,26,16.661846659186317
3,0.01,32,14.696293312937538
3,0.1,8,23.50480716317052
3,0.1,14,17.754057299618715
3,0.1,20,14.59796996439227
3,0.1,26,12.120900985163548
3,0.1,32,10.160732747184959
3,1.0,8,40.76209940638923
3,1.0,14,21.698514840067936
3,1.0,20,16.74590501974796
3,1.0,26,13.400626472518255
3,1.0,32,10.746964669304141
3,10.0,8,47.80892950950405
3,10.0,14,23.72636305468013
3,10.0,20,17.258140080780766
3,10.0,26,13.96631548188886
3,10.0,32,11.95030540171823
4,0.01,8,25.088660003043028
4,0.01,14,21.519270400403304
4,0.01,20,19.100511917523953
4,0.01,26,16.785305449541983
4,0.01,32,14.962906813927086
4,0.1,8,22.776482898326805
4,0.1,14,17.735201079500683
4,0.1,20,14.413618408639893
4,0.1,26,12.178338309503184
4,0.1,32,10.133792403346394
4,1.0,8,40.39671842258929
4,1.0,14,22.246038534281784
4,1.0,20,16.753048519734843
4,1.0,26,13.256089448653517
4,1.0,32,10.694901786592222
4,10.0,8,48.45525722738878
4,10.0,14,23.55246470324098
4,10.0,20,17.33753979822059
4,10.0,26,14.166017779280823
4,10.0,32,12.0004480596181
5,0.01,8,24.93617608325361
5,0.01,14,21.475562379376658
5,0.01,20,18.95626727014416
5,0.01,26,17.01576186616357
5,0.01,32,14.982261978109744
5,0.1,8,23.282848902336525
5,0.1,14,17.637608232172845
5,0.1,20,14.416717764409235
5,0.1,26,12.160790073677962
5,0.1,32,10.273264650696582
5,1.0,8,39.28829060219321
5,1.0,14,22.081656981366336
5,1.0,20,16.53705182149398
5,1.0,26,13.329761471742646
5,1.0,32,10.649420823659591
5,10.0,8,48.56981027535856
5,10.0,14,23.176004444399727
5,10.0,20,17.178622751864566
5,10.0,26,13.990622785992818
5,10.0,32,11.91176831779342
6,0.01,8,25.090142737811593
6,0.01,14,21.439517268254917
6,0.01,20,18.817493067598594
6,0.01,26,16.791030960102628
6,0.01,32,14.835205060044974
6,0.1,8,23.379486714154655
6,0.1,14,17.633870158590245
6,0.1,20,14.697396957469696
6,0.1,26,12.119685001119755
6,0.1,32,10.184357515351092
6,1.0,8,40.013263124757934
6,1.0,14,21.971746335326326
6,1.0,20,16.861119417834065
6,1.0,26,13.2901300161875
6,1.0,32,10.703579412684915
6,10.0,8,46.85591298409931
6,10.0,14,23.407427647381137
6,10.0,20,17.158342855684598
6,10.0,26,13.913490999062955
6,10.0,32,12.007925118667155
7,0.01,8,25.086020375378908
7,0.01,14,21.579811820269477
7,0.01,20,18.898150362606536
7,0.01,26,16.708634498272893
7,0.01,32,14.83725868035282
7,0.1,8,23.01019409495708
7,0.1,14,17.738833608891962
7,0.1,20,14.607301093605821
7,0.1,26,12.267494321627067
7,0.1,32,10.149569617857418
7,1.0,8,39.038596348387
7,1.0,14,22.29228615538773
7,1.0,20,16.589964928845752
7,1.0,26,13.395170599807575
7,1.0,32,10.72934921751304
7,10.0,8,48.75076175974855
7,10.0,14,23.562679623999312
7,10.0,20,16.98098443097081
7,10.0,26,13.93531173154802
7,10.0,32,11.940880900847828
8,0.01,8,25.17489702493467
8,0.01,14,21.553795956807818
8,0.01,20,19.006557236571293
8,0.01,26,16.822803048930215
8,0.01,32,14.918584746463129
