rep,alp,num_cell,error
0,0.01,8,34.484093744870684
0,0.01,14,28.972870732192824
0,0.01,20,25.272353598038258
0,0.01,26,22.191805827379774
0,0.01,32,19.548806855068857
0,0.1,8,32.90692381427065
0,0.1,14,24.509823367331776
0,0.1,20,20.188509700314132
0,0.1,26,16.671721238747367
0,0.1,32,14.03889647795893
0,1.0,8,65.02056459686894
0,1.0,14,30.27101861556168
0,1.0,20,22.504708454419227
0,1.0,26,18.060677301120112
0,1.0,32,13.985997145355864
0,10.0,8,90.59438729826881
0,10.0,14,33.73350223403483
0,10.0,20,24.158575066993876
0,10.0,26,19.62776796295288
0,10.0,32,16.481930288394445
1,0.01,8,34.765210836279515
1,0.01,14,28.650051499032543
1,0.01,20,25.191954642401885
1,0.01,26,22.5229177107361
1,0.01,32,19.538120568902993
1,0.1,8,32.11338031968358
1,0.1,14,24.445119309020086
1,0.1,20,19.957396525760213
1,0.1,26,16.685616719134224
1,0.1,32,13.469898289988198
1,1.0,8,68.70423478424615
1,1.0,14,31.449970054915443
1,1.0,20,23.097021632554224
1,1.0,26,18.52675312925746
1,1.0,32,14.275887381902796
1,10.0,8,97.6993508597511
1,10.0,14,33.9424195491222
1,10.0,20,24.189514707102678
1,10.0,26,19.690813930073073
1,10.0,32,16.323454587731554
2,0.01,8,34.241084643947744
2,0.01,14,28.769209506326316
2,0.01,20,25.567983025288587
2,0.01,26,22.35067082706194
2,0.01,32,19.79484883743309
2,0.1,8,32.150063678684326
2,0.1,14,24.272730841293825
2,0.1,20,19.91355467336266
2,0.1,26,16.40101095200545
2,0.1,32,13.768680021339348
2,1.0,8,65.48922378767374
2,1.0,14,30.616669125073173
2,1.0,20,22.446700141201244
2,1.0,26,17.916533441565758
2,1.0,32,14.142735377526522
2,10.0,8,95.80017968162936
2,10.0,14,34.62622316038501
2,10.0,20,24.597230231194462
2,10.0,26,19.067379286371313
2,10.0,32,16.313324889157606
3,0.01,8,34.432998390698245
3,0.01,14,28.920255066418232
3,0.01,20,25.02381533201426
3,0.01,26,22.361783860895496
3,0.01,32,19.462569478816857
3,0.1,8,33.99416570533763
3,0.1,14,24.507734128944065
3,0.1,20,19.989212369301086
3,0.1,26,16.473793024935635
3,0.1,32,13.81285847332483
3,1.0,8,66.07853332378939
3,1.0,14,31.059679114360016
3,1.0,20,22.948212910138405
3,1.0,26,18.052478689834363
3,1.0,32,13.911042422760481
3,10.0,8,93.79020335477907
3,10.0,14,34.16712235557796
3,10.0,20,24.320685256664948
3,10.0,26,19.32404374968137
3,10.0,32,16.197704383301307
4,0.01,8,34.12758869790323
4,0.01,14,29.068761073200395
4,0.01,20,25.71564732836974
4,0.01,26,22.06691207211461
4,0.01,32,19.570891411722002
4,0.1,8,33.057045845466845
4,0.1,14,24.47423623503561
4,0.1,20,19.700210101561208
4,0.1,26,16.837263171053323
4,0.1,32,13.635876994841844
4,1.0,8,67.15999493778975
4,1.0,14,31.382236755574944
4,1.0,20,23.4098948758978
4,1.0,26,17.98333615269726
4,1.0,32,14.415074622536334
4,10.0,8,89.85794724782973
4,10.0,14,33.982313941632
4,10.0,20,24.32863303299029
4,10.0,26,19.689224216101902
4,10.0,32,16.57784680160957
5,0.01,8,34.551759620386775
5,0.01,14,29.047106203797604
5,0.01,20,25.42938147857341
5,0.01,26,22.160077322676955
5,0.01,32,19.65857016935656
5,0.1,8,32.44268486906828
5,0.1,14,24.517078908449207
5,0.1,20,20.034148531728455
5,0.1,26,16.475703065541886
5,0.1,32,13.713300800151991
5,1.0,8,69.01668907901511
5,1.0,14,31.047789315908297
5,1.0,20,23.03069802687762
5,1.0,26,18.225229566930945
5,1.0,32,14.181875853432365
5,10.0,8,94.50321525069137
5,10.0,14,33.55142102934507
5,10.0,20,24.810625212055538
5,10.0,26,19.73799328468449
5,10.0,32,16.255488833185257
6,0.01,8,34.22033776906372
6,0.01,14,28.832532691497118
6,0.01,20,24.899203769561673
6,0.01,26,21.927227864880205
6,0.01,32,19.343545299426797
6,0.1,8,33.03748885525109
6,0.1,14,24.529408224177956
6,0.1,20,19.990456974670497
6,0.1,26,16.702157887365406
6,0.1,32,13.488809397919027
6,1.0,8,69.41049828510295
6,1.0,14,30.484727068519717
6,1.0,20,23.220792164592936
6,1.0,26,17.703856006152225
6,1.0,32,14.147862793968667
6,10.0,8,92.01737548696991
6,10.0,14,33.869918554730134
6,10.0,20,23.675686348751807
6,10.0,26,19.318754596888606
6,10.0,32,16.07993139679352
7,0.01,8,34.893967040909104
7,0.01,14,29.02403499763507
7,0.01,20,25.353057394051593
7,0.01,26,22.42594208200362
7,0.01,32,19.8082787863505
7,0.1,8,32.21928161123313
7,0.1,14,24.739860923949774
7,0.1,20,19.859061418003943
7,0.1,26,16.241082194684324
7,0.1,32,13.725181236529663
7,1.0,8,67.93122389790526
7,1.0,14,30.234030362316282
7,1.0,20,22.82109313486357
7,1.0,26,17.99818517225081
7,1.0,32,14.259480451452687
7,10.0,8,93.2717552681976
7,10.0,14,33.36124642547882
7,10.0,20,24.243077735401435
7,10.0,26,19.443004944817034
7,10.0,32,15.992883649395305
8,0.01,8,34.34834904374954
8,0.01,14,29.187893262415233
8,0.01,20,25.318688811089586
8,0.01,26,22.151043494037832
8,0.01,32,19.690084427032108
8,0.1,8,33.31657078474585
8,0.1,14,24.198322250595233
8,0.1,20,19.666662905848945
8,0.1,26,16.57213568470714
8,0.1,32,13.627390800490637
8,1.0,8,65.14729498563476
8,1.0,14,31.00364257577339
8,1.0,20,22.668664516964075
8,1.0,26,18.130345996515597
8,1.0,32,14.383595293531977
8,10.0,8,93.75445047623255
8,10.0,14,33.245259513513346
8,10.0,20,24.585869463258856
8,10.0,26,19.6366427928335
8,10.0,32,16.316805333505204
9,0.01,8,34.51743390311069
9,0.01,14,29.066575746948182
9,0.01,20,25.356112887919398
9,0.01,26,22.108497197818473
9,0.01,32,19.86791405228698
9,0.1,8,32.522615692216746
9,0.1,14,24.259988123929354
9,0.1,20,20.23277124360489
9,0.1,26,16.48741513824025
9,0.1,32,13.806064262884922
9,1.0,8,66.64344051446275
9,1.0,14,31.335004504933757
9,1.0,20,22.99293492483114
9,1.0,26,18.207344266913456
9,1.0,32,14.19279468568436
9,10.0,8,95.64322858612334
9,10.0,14,34.97025637411859
9,10.0,20,24.436976590612364
9,10.0,26,19.374563003041846
9,10.0,32,16.300241943623238
