rep,alp,num_cell,filter_dim,error
6,1,320,"(32, 32)",18.47986239
6,1,416,"(32, 32)",15.04888985
6,1,512,"(32, 32)",12.03966895
6,10,128,"(32, 32)",32.12665741
6,10,224,"(32, 32)",24.31183331
6,10,320,"(32, 32)",19.56682122
6,10,416,"(32, 32)",16.27176875
6,10,512,"(32, 32)",14.39208964
7,0.01,128,"(32, 32)",38.35497156
7,0.01,224,"(32, 32)",32.16043897
7,0.01,320,"(32, 32)",27.75724684
7,0.01,416,"(32, 32)",24.60751504
7,0.01,512,"(32, 32)",21.66292717
7,0.1,128,"(32, 32)",34.98801359
7,0.1,224,"(32, 32)",28.7499255
7,0.1,320,"(32, 32)",24.42304975
7,0.1,416,"(32, 32)",20.93127148
7,0.1,512,"(32, 32)",17.702375
7,1,128,"(32, 32)",29.90196741
7,1,224,"(32, 32)",23.06178775
7,1,320,"(32, 32)",18.78484474
7,1,416,"(32, 32)",14.98781116
7,1,512,"(32, 32)",12.19403167
7,10,128,"(32, 32)",32.60277294
7,10,224,"(32, 32)",24.66208934
7,10,320,"(32, 32)",19.67715347
7,10,416,"(32, 32)",16.28622624
7,10,512,"(32, 32)",14.28847196
8,0.01,128,"(32, 32)",38.73251347
8,0.01,224,"(32, 32)",32.15401612
8,0.01,320,"(32, 32)",27.89313495
8,0.01,416,"(32, 32)",24.82607561
8,0.01,512,"(32, 32)",21.60040808
8,0.1,128,"(32, 32)",35.13480406
8,0.1,224,"(32, 32)",28.69004428
8,0.1,320,"(32, 32)",24.1086273
8,0.1,416,"(32, 32)",20.73360273
8,0.1,512,"(32, 32)",17.91266063
8,1,128,"(32, 32)",29.65489555
8,1,224,"(32, 32)",23.25788254
8,1,320,"(32, 32)",18.66352822
8,1,416,"(32, 32)",14.99871719
8,1,512,"(32, 32)",12.12046776
8,10,128,"(32, 32)",32.2981819
8,10,224,"(32, 32)",24.65633765
8,10,320,"(32, 32)",19.65493571
8,10,416,"(32, 32)",16.2794158
8,10,512,"(32, 32)",14.37073739
9,0.01,128,"(32, 32)",38.28267894
