rep,dwt_type,lv,alp,num_cell,cell_size,sparse_freq,filter_dim,error
0,db2,1,0.1,224,200,8,"(32, 32)",124.05352669268939
0,db2,1,0.1,320,50,2,"(32, 32)",100.40673563958792
0,db2,1,0.1,320,50,4,"(32, 32)",104.00213000977348
0,db2,1,0.1,320,50,6,"(32, 32)",110.46763606393372
0,db2,1,0.1,320,50,8,"(32, 32)",112.71097599863637
0,db2,1,0.1,320,100,2,"(32, 32)",100.00486678678433
0,db2,1,0.1,320,100,4,"(32, 32)",104.84586647046407
0,db2,1,0.1,320,100,6,"(32, 32)",110.56587440943674
0,db2,1,0.1,320,100,8,"(32, 32)",114.04466003533204
0,db2,1,0.1,320,200,2,"(32, 32)",99.74043956631428
0,db2,1,0.1,320,200,4,"(32, 32)",105.58605504511007
0,db2,1,0.1,320,200,6,"(32, 32)",111.18741313036763
0,db2,1,0.1,320,200,8,"(32, 32)",114.11519663425531
0,db2,1,0.1,416,50,2,"(32, 32)",83.79633634565913
0,db2,1,0.1,416,50,4,"(32, 32)",75.9021021595822
0,db2,1,0.1,416,50,6,"(32, 32)",83.617406754098
0,db2,1,0.1,416,50,8,"(32, 32)",90.91643466331281
0,db2,1,0.1,416,100,2,"(32, 32)",83.67531489577135
0,db2,1,0.1,416,100,4,"(32, 32)",77.25984822925155
0,db2,1,0.1,416,100,6,"(32, 32)",84.12408521588466
0,db2,1,0.1,416,100,8,"(32, 32)",92.41916076853676
0,db2,1,0.1,416,200,2,"(32, 32)",83.4434365893014
0,db2,1,0.1,416,200,4,"(32, 32)",75.65596832008663
0,db2,1,0.1,416,200,6,"(32, 32)",86.21239551716508
0,db2,1,0.1,416,200,8,"(32, 32)",92.23714903353593
0,db2,1,0.1,512,50,2,"(32, 32)",50.33607758794578
0,db2,1,0.1,512,50,4,"(32, 32)",43.69699840406829
0,db2,1,0.1,512,50,6,"(32, 32)",57.367167983375836
0,db2,1,0.1,512,50,8,"(32, 32)",66.46713933531123
0,db2,1,0.1,512,100,2,"(32, 32)",50.40222250261515
0,db2,1,0.1,512,100,4,"(32, 32)",44.825060287920124
0,db2,1,0.1,512,100,6,"(32, 32)",57.67879459248511
0,db2,1,0.1,512,100,8,"(32, 32)",66.61146035667127
0,db2,1,0.1,512,200,2,"(32, 32)",50.11664060679296
0,db2,1,0.1,512,200,4,"(32, 32)",46.00146270582534
0,db2,1,0.1,512,200,6,"(32, 32)",58.14199501890034
0,db2,1,0.1,512,200,8,"(32, 32)",66.7382528419423
0,db2,1,1.0,128,50,2,"(32, 32)",79.95624988645066
0,db2,1,1.0,128,50,4,"(32, 32)",73.07513167127661
0,db2,1,1.0,128,50,6,"(32, 32)",89.39732722184931
0,db2,1,1.0,128,50,8,"(32, 32)",98.90732018251862
0,db2,1,1.0,128,100,2,"(32, 32)",80.22409984907426
0,db2,1,1.0,128,100,4,"(32, 32)",73.59516807534368
0,db2,1,1.0,128,100,6,"(32, 32)",88.94803476033537
0,db2,1,1.0,128,100,8,"(32, 32)",98.8410819577288
0,db2,1,1.0,128,200,2,"(32, 32)",80.29564842034044
0,db2,1,1.0,128,200,4,"(32, 32)",74.03714142299872
0,db2,1,1.0,128,200,6,"(32, 32)",89.48013447484982
0,db2,1,1.0,128,200,8,"(32, 32)",99.4514543583291
0,db2,1,1.0,224,50,2,"(32, 32)",45.48298276489138
0,db2,1,1.0,224,50,4,"(32, 32)",39.51057451885273
0,db2,1,1.0,224,50,6,"(32, 32)",60.54862793581427
0,db2,1,1.0,224,50,8,"(32, 32)",80.03376929903058
0,db2,1,1.0,224,100,2,"(32, 32)",45.943717899033665
0,db2,1,1.0,224,100,4,"(32, 32)",38.89978458962703
0,db2,1,1.0,224,100,6,"(32, 32)",60.72442443373867
0,db2,1,1.0,224,100,8,"(32, 32)",79.9991965491957
0,db2,1,1.0,224,200,2,"(32, 32)",45.62979205323037
0,db2,1,1.0,224,200,4,"(32, 32)",39.58333498235331
0,db2,1,1.0,224,200,6,"(32, 32)",61.393067973233066
0,db2,1,1.0,224,200,8,"(32, 32)",80.1196750531818
0,db2,1,1.0,320,50,2,"(32, 32)",20.34690792577321
0,db2,1,1.0,320,50,4,"(32, 32)",26.025115793577015
0,db2,1,1.0,320,50,6,"(32, 32)",42.35178178013757
0,db2,1,1.0,320,50,8,"(32, 32)",63.31019393773096
0,db2,1,1.0,320,100,2,"(32, 32)",20.34091255804045
0,db2,1,1.0,320,100,4,"(32, 32)",25.7575399229919
0,db2,1,1.0,320,100,6,"(32, 32)",41.90765888255221
0,db2,1,1.0,320,100,8,"(32, 32)",61.96188819741743
0,db2,1,1.0,320,200,2,"(32, 32)",20.31219266218814
0,db2,1,1.0,320,200,4,"(32, 32)",25.79016920764168
0,db2,1,1.0,320,200,6,"(32, 32)",41.21422597772661
0,db2,1,1.0,320,200,8,"(32, 32)",62.84495460573564
0,db2,1,1.0,416,50,2,"(32, 32)",13.556257226290432
0,db2,1,1.0,416,50,4,"(32, 32)",20.457715783312683
0,db2,1,1.0,416,50,6,"(32, 32)",33.739750584447606
0,db2,1,1.0,416,50,8,"(32, 32)",52.579926748707194
0,db2,1,1.0,416,100,2,"(32, 32)",13.73407572310629
0,db2,1,1.0,416,100,4,"(32, 32)",20.639153173211234
0,db2,1,1.0,416,100,6,"(32, 32)",33.30208804254118
0,db2,1,1.0,416,100,8,"(32, 32)",52.43090153168077
0,db2,1,1.0,416,200,2,"(32, 32)",13.70648507100595
0,db2,1,1.0,416,200,4,"(32, 32)",20.529724807641486
0,db2,1,1.0,416,200,6,"(32, 32)",33.87213927854897
0,db2,1,1.0,416,200,8,"(32, 32)",51.88248839964273
0,db2,1,1.0,512,50,2,"(32, 32)",11.311407552838684
0,db2,1,1.0,512,50,4,"(32, 32)",17.835364193418233
0,db2,1,1.0,512,50,6,"(32, 32)",29.347418640060337
0,db2,1,1.0,512,50,8,"(32, 32)",46.39984382570226
0,db2,1,1.0,512,100,2,"(32, 32)",11.286456737274682
0,db2,1,1.0,512,100,4,"(32, 32)",17.880701929604477
0,db2,1,1.0,512,100,6,"(32, 32)",29.650253734821675
0,db2,1,1.0,512,100,8,"(32, 32)",45.24345375888347
0,db2,1,1.0,512,200,2,"(32, 32)",11.253818457332848
0,db2,1,1.0,512,200,4,"(32, 32)",17.930263641342446
0,db2,1,1.0,512,200,6,"(32, 32)",29.04455504609991
0,db2,1,1.0,512,200,8,"(32, 32)",45.931389517733784
0,db2,1,10.0,128,50,2,"(32, 32)",96.805148077651
0,db2,1,10.0,128,50,4,"(32, 32)",82.73183947199925
0,db2,1,10.0,128,50,6,"(32, 32)",72.27123384061412
0,db2,1,10.0,128,50,8,"(32, 32)",69.45037565850646
0,db2,1,10.0,128,100,2,"(32, 32)",97.36156951777032
0,db2,1,10.0,128,100,4,"(32, 32)",83.13372607787153
0,db2,1,10.0,128,100,6,"(32, 32)",73.02044869474432
0,db2,1,10.0,128,100,8,"(32, 32)",69.84457857122653
0,db2,1,10.0,128,200,2,"(32, 32)",96.92120039337811
0,db2,1,10.0,128,200,4,"(32, 32)",83.40858720897107
0,db2,1,10.0,128,200,6,"(32, 32)",73.38285782961977
0,db2,1,10.0,128,200,8,"(32, 32)",69.97471810597904
0,db2,1,10.0,224,50,2,"(32, 32)",71.66278403063023
0,db2,1,10.0,224,50,4,"(32, 32)",54.053213144334045
0,db2,1,10.0,224,50,6,"(32, 32)",51.31532240805638
0,db2,1,10.0,224,50,8,"(32, 32)",52.53879733901489
0,db2,1,10.0,224,100,2,"(32, 32)",71.68399643256127
0,db2,1,10.0,224,100,4,"(32, 32)",54.680885900256904
0,db2,1,10.0,224,100,6,"(32, 32)",51.912159564387494
0,db2,1,10.0,224,100,8,"(32, 32)",53.07079865856146
0,db2,1,10.0,224,200,2,"(32, 32)",71.58066005252178
0,db2,1,10.0,224,200,4,"(32, 32)",55.157440432056575
0,db2,1,10.0,224,200,6,"(32, 32)",52.05486385402036
0,db2,1,10.0,224,200,8,"(32, 32)",53.399693407471574
0,db2,1,10.0,320,50,2,"(32, 32)",44.19343028545654
0,db2,1,10.0,320,50,4,"(32, 32)",41.72012187402321
0,db2,1,10.0,320,50,6,"(32, 32)",42.12970356476335
0,db2,1,10.0,320,50,8,"(32, 32)",43.43352124770514
0,db2,1,10.0,320,100,2,"(32, 32)",44.03472431843739
0,db2,1,10.0,320,100,4,"(32, 32)",42.076001974631446
0,db2,1,10.0,320,100,6,"(32, 32)",42.695459788243774
0,db2,1,10.0,320,100,8,"(32, 32)",43.51308375939303
0,db2,1,10.0,320,200,2,"(32, 32)",44.08397883691981
0,db2,1,10.0,320,200,4,"(32, 32)",42.268855204515454
0,db2,1,10.0,320,200,6,"(32, 32)",42.398802697173046
0,db2,1,10.0,320,200,8,"(32, 32)",43.695064124511994
0,db2,1,10.0,416,50,2,"(32, 32)",29.64951703866727
0,db2,1,10.0,416,50,4,"(32, 32)",35.406443232575505
0,db2,1,10.0,416,50,6,"(32, 32)",36.5579375199878
0,db2,1,10.0,416,50,8,"(32, 32)",37.725207442110815
0,db2,1,10.0,416,100,2,"(32, 32)",30.02596126037225
0,db2,1,10.0,416,100,4,"(32, 32)",35.81498264941272
0,db2,1,10.0,416,100,6,"(32, 32)",36.47508962618907
0,db2,1,10.0,416,100,8,"(32, 32)",38.25488354791964
0,db2,1,10.0,416,200,2,"(32, 32)",29.596559288476566
0,db2,1,10.0,416,200,4,"(32, 32)",36.04600123688726
0,db2,1,10.0,416,200,6,"(32, 32)",36.99294043543073
0,db2,1,10.0,416,200,8,"(32, 32)",38.05482387968595
0,db2,1,10.0,512,50,2,"(32, 32)",24.14543985787328
0,db2,1,10.0,512,50,4,"(32, 32)",32.02650254214136
0,db2,1,10.0,512,50,6,"(32, 32)",32.68658644382447
0,db2,1,10.0,512,50,8,"(32, 32)",34.29171851808159
0,db2,1,10.0,512,100,2,"(32, 32)",24.448708541868513
0,db2,1,10.0,512,100,4,"(32, 32)",32.1194248928018
0,db2,1,10.0,512,100,6,"(32, 32)",32.960917767367135
0,db2,1,10.0,512,100,8,"(32, 32)",34.24375117859453
0,db2,1,10.0,512,200,2,"(32, 32)",24.44492720888239
0,db2,1,10.0,512,200,4,"(32, 32)",32.035164049638574
0,db2,1,10.0,512,200,6,"(32, 32)",33.07343346539917
0,db2,1,10.0,512,200,8,"(32, 32)",34.26719389879705
0,db2,2,0.01,128,50,2,"(32, 32)",113.12053289708788
0,db2,2,0.01,128,50,4,"(32, 32)",129.73684300801105
0,db2,2,0.01,128,50,6,"(32, 32)",132.7041569665947
0,db2,2,0.01,128,50,8,"(32, 32)",133.33316575198768
0,db2,2,0.01,128,100,2,"(32, 32)",113.36953759204016
0,db2,2,0.01,128,100,4,"(32, 32)",129.56900164148388
0,db2,2,0.01,128,100,6,"(32, 32)",132.69091963527876
0,db2,2,0.01,128,100,8,"(32, 32)",133.32253451168023
0,db2,2,0.01,128,200,2,"(32, 32)",112.91501010557062
0,db2,2,0.01,128,200,4,"(32, 32)",129.59184975722252
0,db2,2,0.01,128,200,6,"(32, 32)",132.56581588547567
0,db2,2,0.01,128,200,8,"(32, 32)",133.30556436015672
0,db2,2,0.01,224,50,2,"(32, 32)",115.11159302288628
0,db2,2,0.01,224,50,4,"(32, 32)",130.1064820758813
0,db2,2,0.01,224,50,6,"(32, 32)",132.9347206761374
0,db2,2,0.01,224,50,8,"(32, 32)",133.407465236023
0,db2,2,0.01,224,100,2,"(32, 32)",115.01831948692536
0,db2,2,0.01,224,100,4,"(32, 32)",130.0727891495463
0,db2,2,0.01,224,100,6,"(32, 32)",132.69966901265013
0,db2,2,0.01,224,100,8,"(32, 32)",133.28738930840802
0,db2,2,0.01,224,200,2,"(32, 32)",114.5052352441382
0,db2,2,0.01,224,200,4,"(32, 32)",129.97477427538396
0,db2,2,0.01,224,200,6,"(32, 32)",132.70662589818753
0,db2,2,0.01,224,200,8,"(32, 32)",133.34644940873292
0,db2,2,0.01,320,50,2,"(32, 32)",113.78756165802936
0,db2,2,0.01,320,50,4,"(32, 32)",129.33165913576448
0,db2,2,0.01,320,50,6,"(32, 32)",132.3093583531823
0,db2,2,0.01,320,50,8,"(32, 32)",133.0233432103824
0,db2,2,0.01,320,100,2,"(32, 32)",113.4423215235504
0,db2,2,0.01,320,100,4,"(32, 32)",129.2258708573966
0,db2,2,0.01,320,100,6,"(32, 32)",132.1043382150334
0,db2,2,0.01,320,100,8,"(32, 32)",132.94199100112797
0,db2,2,0.01,320,200,2,"(32, 32)",113.73009093724812
0,db2,2,0.01,320,200,4,"(32, 32)",129.2398843551397
0,db2,2,0.01,320,200,6,"(32, 32)",132.3649177349911
0,db2,2,0.01,320,200,8,"(32, 32)",132.9124270505408
0,db2,2,0.01,416,50,2,"(32, 32)",110.83362709713967
0,db2,2,0.01,416,50,4,"(32, 32)",127.99130045116512
0,db2,2,0.01,416,50,6,"(32, 32)",131.09241728804287
0,db2,2,0.01,416,50,8,"(32, 32)",131.82978333436955
0,db2,2,0.01,416,100,2,"(32, 32)",110.70324224601788
0,db2,2,0.01,416,100,4,"(32, 32)",127.98076771256248
0,db2,2,0.01,416,100,6,"(32, 32)",130.98607060580534
0,db2,2,0.01,416,100,8,"(32, 32)",131.9636087683042
0,db2,2,0.01,416,200,2,"(32, 32)",110.57179089244286
0,db2,2,0.01,416,200,4,"(32, 32)",127.93390485355272
0,db2,2,0.01,416,200,6,"(32, 32)",131.00027813772712
0,db2,2,0.01,416,200,8,"(32, 32)",131.9971170833077
0,db2,2,0.01,512,50,2,"(32, 32)",106.17039394173713
0,db2,2,0.01,512,50,4,"(32, 32)",124.93457803367389
0,db2,2,0.01,512,50,6,"(32, 32)",128.5974972666777
0,db2,2,0.01,512,50,8,"(32, 32)",130.35800560473507
0,db2,2,0.01,512,100,2,"(32, 32)",106.07416969709784
0,db2,2,0.01,512,100,4,"(32, 32)",125.21817765130086
0,db2,2,0.01,512,100,6,"(32, 32)",128.72841325547543
0,db2,2,0.01,512,100,8,"(32, 32)",130.03612037050777
0,db2,2,0.01,512,200,2,"(32, 32)",105.92342799525798
0,db2,2,0.01,512,200,4,"(32, 32)",124.81697295325317
0,db2,2,0.01,512,200,6,"(32, 32)",128.64483556363078
0,db2,2,0.01,512,200,8,"(32, 32)",129.96608483933636
0,db2,2,0.1,128,50,2,"(32, 32)",97.01585724591328
0,db2,2,0.1,128,50,4,"(32, 32)",119.6700021089439
0,db2,2,0.1,128,50,6,"(32, 32)",126.33531273639078
0,db2,2,0.1,128,50,8,"(32, 32)",128.01886310763288
0,db2,2,0.1,128,100,2,"(32, 32)",97.44188482121528
0,db2,2,0.1,128,100,4,"(32, 32)",119.51033940935204
0,db2,2,0.1,128,100,6,"(32, 32)",126.23981922760412
0,db2,2,0.1,128,100,8,"(32, 32)",127.88082290771244
0,db2,2,0.1,128,200,2,"(32, 32)",97.28270277488075
0,db2,2,0.1,128,200,4,"(32, 32)",119.83306485403773
0,db2,2,0.1,128,200,6,"(32, 32)",126.06409993099682
0,db2,2,0.1,128,200,8,"(32, 32)",128.30182784303017
0,db2,2,0.1,224,50,2,"(32, 32)",86.74910440999538
0,db2,2,0.1,224,50,4,"(32, 32)",114.89836655029215
0,db2,2,0.1,224,50,6,"(32, 32)",122.22576234969496
0,db2,2,0.1,224,50,8,"(32, 32)",123.91463580815731
0,db2,2,0.1,224,100,2,"(32, 32)",86.49430607924928
0,db2,2,0.1,224,100,4,"(32, 32)",114.63211716382729
0,db2,2,0.1,224,100,6,"(32, 32)",122.08136223426722
0,db2,2,0.1,224,100,8,"(32, 32)",123.825525329449
0,db2,2,0.1,224,200,2,"(32, 32)",86.65442889694002
0,db2,2,0.1,224,200,4,"(32, 32)",114.56049053388138
0,db2,2,0.1,224,200,6,"(32, 32)",122.02731463037142
