rep,alp,num_cell,filter_dim,error
7,1,224,"(32, 32)",14.53472242
7,1,320,"(32, 32)",11.78761828
7,1,416,"(32, 32)",9.637669931
7,1,512,"(32, 32)",7.836747771
7,10,128,"(32, 32)",19.90003667
7,10,224,"(32, 32)",15.41722474
7,10,320,"(32, 32)",12.39985627
7,10,416,"(32, 32)",10.58039162
7,10,512,"(32, 32)",9.369677444
8,0.01,128,"(32, 32)",25.0892539
8,0.01,224,"(32, 32)",20.57676309
8,0.01,320,"(32, 32)",17.89604762
8,0.01,416,"(32, 32)",15.74888292
8,0.01,512,"(32, 32)",13.66764834
8,0.1,128,"(32, 32)",22.42528607
8,0.1,224,"(32, 32)",17.98880239
8,0.1,320,"(32, 32)",14.9183775
8,0.1,416,"(32, 32)",12.46487986
8,0.1,512,"(32, 32)",10.50945111
8,1,128,"(32, 32)",18.79417333
8,1,224,"(32, 32)",14.68552869
8,1,320,"(32, 32)",11.77608824
8,1,416,"(32, 32)",9.677310433
8,1,512,"(32, 32)",7.911460396
8,10,128,"(32, 32)",19.95549782
8,10,224,"(32, 32)",15.43461712
8,10,320,"(32, 32)",12.43990023
8,10,416,"(32, 32)",10.56203573
8,10,512,"(32, 32)",9.265847935
9,0.01,128,"(32, 32)",24.82680823
9,0.01,224,"(32, 32)",20.51455153
9,0.01,320,"(32, 32)",17.77903897
9,0.01,416,"(32, 32)",15.61937472
9,0.01,512,"(32, 32)",13.59283164
9,0.1,128,"(32, 32)",22.4684781
9,0.1,224,"(32, 32)",17.93700788
9,0.1,320,"(32, 32)",14.99954706
9,0.1,416,"(32, 32)",12.55226698
9,0.1,512,"(32, 32)",10.67632169
9,1,128,"(32, 32)",18.56730133
9,1,224,"(32, 32)",14.66254022
9,1,320,"(32, 32)",11.72523014
9,1,416,"(32, 32)",9.676639499
9,1,512,"(32, 32)",7.956335353
9,10,128,"(32, 32)",19.84013466
9,10,224,"(32, 32)",15.43108071
9,10,320,"(32, 32)",12.42366616
9,10,416,"(32, 32)",10.57345302
9,10,512,"(32, 32)",9.302469881
0,0.01,8,"(8, 8)",22.35653956
0,0.01,14,"(8, 8)",18.58778504
0,0.01,20,"(8, 8)",16.17736947
0,0.01,26,"(8, 8)",13.98008442
0,0.01,32,"(8, 8)",12.49185404
0,0.1,8,"(8, 8)",21.29937483
0,0.1,14,"(8, 8)",15.57509437
0,0.1,20,"(8, 8)",12.37791748
0,0.1,26,"(8, 8)",10.28251904
0,0.1,32,"(8, 8)",8.561911681
0,1,8,"(8, 8)",40.62770705
0,1,14,"(8, 8)",20.42412874
0,1,20,"(8, 8)",14.82490413
0,1,26,"(8, 8)",11.84436662
0,1,32,"(8, 8)",9.304231391
0,10,8,"(8, 8)",47.89689004
0,10,14,"(8, 8)",21.4227934
0,10,20,"(8, 8)",15.63473464
0,10,26,"(8, 8)",12.39705288
0,10,32,"(8, 8)",10.64380678
1,0.01,8,"(8, 8)",22.63072023
1,0.01,14,"(8, 8)",18.68147533
1,0.01,20,"(8, 8)",16.05894366
1,0.01,26,"(8, 8)",14.23313294
1,0.01,32,"(8, 8)",12.38514355
1,0.1,8,"(8, 8)",21.16757508
1,0.1,14,"(8, 8)",15.3718045
1,0.1,20,"(8, 8)",12.48042718
1,0.1,26,"(8, 8)",10.33627612
1,0.1,32,"(8, 8)",8.525099553
1,1,8,"(8, 8)",39.0103257
1,1,14,"(8, 8)",20.71213413
1,1,20,"(8, 8)",14.86156299
1,1,26,"(8, 8)",11.63777279
1,1,32,"(8, 8)",9.263826089
1,10,8,"(8, 8)",51.22058981
1,10,14,"(8, 8)",21.02004593
1,10,20,"(8, 8)",15.52714094
1,10,26,"(8, 8)",12.36348381
1,10,32,"(8, 8)",10.5420665
2,0.01,8,"(8, 8)",22.61275779
2,0.01,14,"(8, 8)",18.47745429
2,0.01,20,"(8, 8)",16.09815057
2,0.01,26,"(8, 8)",14.15400014
2,0.01,32,"(8, 8)",12.30684706
2,0.1,8,"(8, 8)",21.52795279
2,0.1,14,"(8, 8)",15.43922161
2,0.1,20,"(8, 8)",12.48318495
2,0.1,26,"(8, 8)",10.37966906
2,0.1,32,"(8, 8)",8.552997523
2,1,8,"(8, 8)",39.68620248
2,1,14,"(8, 8)",20.70640157
2,1,20,"(8, 8)",14.89955613
2,1,26,"(8, 8)",11.63318387
2,1,32,"(8, 8)",9.271174964
2,10,8,"(8, 8)",50.10219453
2,10,14,"(8, 8)",21.10510428
2,10,20,"(8, 8)",15.554578
2,10,26,"(8, 8)",12.64008239
2,10,32,"(8, 8)",10.7330819
3,0.01,8,"(8, 8)",22.7150844
3,0.01,14,"(8, 8)",18.52517863
3,0.01,20,"(8, 8)",15.90220642
3,0.01,26,"(8, 8)",14.07125406
3,0.01,32,"(8, 8)",12.37575706
3,0.1,8,"(8, 8)",21.19405603
3,0.1,14,"(8, 8)",15.31999254
3,0.1,20,"(8, 8)",12.48864765
3,0.1,26,"(8, 8)",10.20308911
3,0.1,32,"(8, 8)",8.51871517
3,1,8,"(8, 8)",40.30415156
3,1,14,"(8, 8)",20.13875191
3,1,20,"(8, 8)",14.98484685
3,1,26,"(8, 8)",11.69633387
3,1,32,"(8, 8)",9.334914709
3,10,8,"(8, 8)",49.33572653
3,10,14,"(8, 8)",21.91783065
