rep,dwt_type,lv,alp,num_cell,filter_dim,error
1,db2,2,10.0,128,"(32, 32)",233.67830700887583
1,db2,2,10.0,224,"(32, 32)",192.20416286775333
1,db2,2,10.0,320,"(32, 32)",81.12142729570097
1,db2,2,10.0,416,"(32, 32)",31.426423079893066
1,db2,2,10.0,512,"(32, 32)",22.326210831531494
1,db2,3,0.01,128,"(32, 32)",82.68660603542433
1,db2,3,0.01,224,"(32, 32)",63.36160826033908
1,db2,3,0.01,320,"(32, 32)",51.13947648933285
1,db2,3,0.01,416,"(32, 32)",43.42915784468578
1,db2,3,0.01,512,"(32, 32)",36.14682461627975
1,db2,3,0.1,128,"(32, 32)",82.02605831320388
1,db2,3,0.1,224,"(32, 32)",48.08798875314914
1,db2,3,0.1,320,"(32, 32)",30.101628461617484
1,db2,3,0.1,416,"(32, 32)",19.514125109683672
1,db2,3,0.1,512,"(32, 32)",13.71125286206944
1,db2,3,1.0,128,"(32, 32)",137.83189538638445
1,db2,3,1.0,224,"(32, 32)",40.99310319160217
1,db2,3,1.0,320,"(32, 32)",24.84283100083866
1,db2,3,1.0,416,"(32, 32)",17.76253099432113
1,db2,3,1.0,512,"(32, 32)",13.23671675572124
1,db2,3,10.0,128,"(32, 32)",179.52647071897854
1,db2,3,10.0,224,"(32, 32)",42.824729119561496
1,db2,3,10.0,320,"(32, 32)",25.72806459195299
1,db2,3,10.0,416,"(32, 32)",19.593125231454252
1,db2,3,10.0,512,"(32, 32)",16.19258467891968
2,db2,1,0.01,128,"(32, 32)",214.64679590015746
2,db2,1,0.01,224,"(32, 32)",190.53082279347007
2,db2,1,0.01,320,"(32, 32)",172.88698440904034
2,db2,1,0.01,416,"(32, 32)",156.82683443285458
2,db2,1,0.01,512,"(32, 32)",141.2225300501815
2,db2,1,0.1,128,"(32, 32)",217.90472761700372
2,db2,1,0.1,224,"(32, 32)",193.18903939884285
2,db2,1,0.1,320,"(32, 32)",172.57887522515819
2,db2,1,0.1,416,"(32, 32)",153.17831983571986
2,db2,1,0.1,512,"(32, 32)",131.07502895531707
2,db2,1,1.0,128,"(32, 32)",240.83138411985968
2,db2,1,1.0,224,"(32, 32)",223.44335164123743
2,db2,1,1.0,320,"(32, 32)",207.25505307322075
2,db2,1,1.0,416,"(32, 32)",188.5741109487975
2,db2,1,1.0,512,"(32, 32)",163.07182175999637
2,db2,1,10.0,128,"(32, 32)",250.71022120555287
2,db2,1,10.0,224,"(32, 32)",232.81249270035906
2,db2,1,10.0,320,"(32, 32)",216.7054465151174
2,db2,1,10.0,416,"(32, 32)",198.28708491356178
2,db2,1,10.0,512,"(32, 32)",175.57509090133894
2,db2,2,0.01,128,"(32, 32)",158.73605659105576
2,db2,2,0.01,224,"(32, 32)",128.33377084698762
2,db2,2,0.01,320,"(32, 32)",108.01992568122442
2,db2,2,0.01,416,"(32, 32)",92.12999921922301
2,db2,2,0.01,512,"(32, 32)",78.886320628715
2,db2,2,0.1,128,"(32, 32)",157.3682141405225
2,db2,2,0.1,224,"(32, 32)",120.802788783718
2,db2,2,0.1,320,"(32, 32)",86.44884190928214
2,db2,2,0.1,416,"(32, 32)",57.09456232638281
2,db2,2,0.1,512,"(32, 32)",31.92931367054682
2,db2,2,1.0,128,"(32, 32)",211.41132529426375
2,db2,2,1.0,224,"(32, 32)",163.40630147542487
2,db2,2,1.0,320,"(32, 32)",76.74519531917055
2,db2,2,1.0,416,"(32, 32)",28.45291015275746
2,db2,2,1.0,512,"(32, 32)",17.321938926582945
2,db2,2,10.0,128,"(32, 32)",234.29228654408922
2,db2,2,10.0,224,"(32, 32)",191.88582838487247
2,db2,2,10.0,320,"(32, 32)",81.17008669134353
2,db2,2,10.0,416,"(32, 32)",31.44461191475001
2,db2,2,10.0,512,"(32, 32)",22.42947422671593
2,db2,3,0.01,128,"(32, 32)",85.36297558489868
2,db2,3,0.01,224,"(32, 32)",62.83936235693183
2,db2,3,0.01,320,"(32, 32)",51.08418816270765
2,db2,3,0.01,416,"(32, 32)",43.428564412252676
2,db2,3,0.01,512,"(32, 32)",35.79908221469582
2,db2,3,0.1,128,"(32, 32)",81.3525886203502
2,db2,3,0.1,224,"(32, 32)",48.10890661880738
2,db2,3,0.1,320,"(32, 32)",30.19692511157134
2,db2,3,0.1,416,"(32, 32)",19.430670025827414
2,db2,3,0.1,512,"(32, 32)",13.614378682675284
2,db2,3,1.0,128,"(32, 32)",136.09104390831772
2,db2,3,1.0,224,"(32, 32)",41.88212615911071
2,db2,3,1.0,320,"(32, 32)",24.621694352627106
2,db2,3,1.0,416,"(32, 32)",17.49420636867322
2,db2,3,1.0,512,"(32, 32)",13.393486580725943
2,db2,3,10.0,128,"(32, 32)",177.79890559946352
2,db2,3,10.0,224,"(32, 32)",42.790900803311416
2,db2,3,10.0,320,"(32, 32)",26.235529371518474
2,db2,3,10.0,416,"(32, 32)",19.534259338475877
2,db2,3,10.0,512,"(32, 32)",16.396757856749932
3,db2,1,0.01,128,"(32, 32)",214.23447523990424
3,db2,1,0.01,224,"(32, 32)",190.26628797988437
3,db2,1,0.01,320,"(32, 32)",172.69719596755516
3,db2,1,0.01,416,"(32, 32)",156.17112016519292
3,db2,1,0.01,512,"(32, 32)",141.47598595269744
3,db2,1,0.1,128,"(32, 32)",216.74490649652532
3,db2,1,0.1,224,"(32, 32)",192.35971570784608
3,db2,1,0.1,320,"(32, 32)",173.34906186976943
3,db2,1,0.1,416,"(32, 32)",153.19752234952895
3,db2,1,0.1,512,"(32, 32)",130.99759856782066
3,db2,1,1.0,128,"(32, 32)",240.58967212095433
3,db2,1,1.0,224,"(32, 32)",223.48319059136907
3,db2,1,1.0,320,"(32, 32)",206.7092457449805
3,db2,1,1.0,416,"(32, 32)",188.74136496490618
3,db2,1,1.0,512,"(32, 32)",162.40879912850409
3,db2,1,10.0,128,"(32, 32)",251.1642815574325
3,db2,1,10.0,224,"(32, 32)",233.06900670857667
3,db2,1,10.0,320,"(32, 32)",216.38971955881686
3,db2,1,10.0,416,"(32, 32)",198.59567757788287
3,db2,1,10.0,512,"(32, 32)",176.10978274534688
3,db2,2,0.01,128,"(32, 32)",156.91867817895957
3,db2,2,0.01,224,"(32, 32)",127.42355482910868
3,db2,2,0.01,320,"(32, 32)",109.84682140587243
3,db2,2,0.01,416,"(32, 32)",91.60257114400038
3,db2,2,0.01,512,"(32, 32)",78.24426928610774
3,db2,2,0.1,128,"(32, 32)",157.58234570760436
3,db2,2,0.1,224,"(32, 32)",120.4621023835162
3,db2,2,0.1,320,"(32, 32)",86.91622418747869
3,db2,2,0.1,416,"(32, 32)",56.34866692388668
3,db2,2,0.1,512,"(32, 32)",31.80500492320797
3,db2,2,1.0,128,"(32, 32)",210.89334003175864
