rep,dwt_type,lv,alp,num_cell,filter_dim,error
1,db2,2,10.0,128,"(32, 32)",109.68239967247524
1,db2,2,10.0,224,"(32, 32)",85.54927668575041
1,db2,2,10.0,320,"(32, 32)",60.99874610862875
1,db2,2,10.0,416,"(32, 32)",44.142272378343606
1,db2,2,10.0,512,"(32, 32)",33.99728304161122
1,db2,3,0.01,128,"(32, 32)",37.064335589441875
1,db2,3,0.01,224,"(32, 32)",27.655575777445517
1,db2,3,0.01,320,"(32, 32)",23.880245251698106
1,db2,3,0.01,416,"(32, 32)",20.77613361446996
1,db2,3,0.01,512,"(32, 32)",18.903555080561908
1,db2,3,0.1,128,"(32, 32)",34.43838416762826
1,db2,3,0.1,224,"(32, 32)",24.490361711752257
1,db2,3,0.1,320,"(32, 32)",19.97825718607284
1,db2,3,0.1,416,"(32, 32)",16.73996137735339
1,db2,3,0.1,512,"(32, 32)",14.53263510388753
1,db2,3,1.0,128,"(32, 32)",67.40526296063595
1,db2,3,1.0,224,"(32, 32)",44.34771263477158
1,db2,3,1.0,320,"(32, 32)",31.55828176580997
1,db2,3,1.0,416,"(32, 32)",24.61933245041293
1,db2,3,1.0,512,"(32, 32)",19.88032162995236
1,db2,3,10.0,128,"(32, 32)",81.91853495964196
1,db2,3,10.0,224,"(32, 32)",50.746534031868215
1,db2,3,10.0,320,"(32, 32)",34.54600498271997
1,db2,3,10.0,416,"(32, 32)",25.642175937868714
1,db2,3,10.0,512,"(32, 32)",21.229902749469982
2,db2,1,0.01,128,"(32, 32)",109.25327145983553
2,db2,1,0.01,224,"(32, 32)",94.57571750401975
2,db2,1,0.01,320,"(32, 32)",82.43381983110464
2,db2,1,0.01,416,"(32, 32)",72.0002132783486
2,db2,1,0.01,512,"(32, 32)",64.06799522091508
2,db2,1,0.1,128,"(32, 32)",102.3735610432273
2,db2,1,0.1,224,"(32, 32)",88.42801093965586
2,db2,1,0.1,320,"(32, 32)",78.46014028917344
2,db2,1,0.1,416,"(32, 32)",70.19667212051034
2,db2,1,0.1,512,"(32, 32)",62.65261606537436
2,db2,1,1.0,128,"(32, 32)",115.47789258883196
2,db2,1,1.0,224,"(32, 32)",105.31996674371608
2,db2,1,1.0,320,"(32, 32)",96.3387187939568
2,db2,1,1.0,416,"(32, 32)",87.91759393091532
2,db2,1,1.0,512,"(32, 32)",79.67815034956222
2,db2,1,10.0,128,"(32, 32)",117.74188055403806
2,db2,1,10.0,224,"(32, 32)",107.85874968624759
2,db2,1,10.0,320,"(32, 32)",99.11130791826575
2,db2,1,10.0,416,"(32, 32)",91.0009173043098
2,db2,1,10.0,512,"(32, 32)",83.27750421227036
2,db2,2,0.01,128,"(32, 32)",73.6361271168328
2,db2,2,0.01,224,"(32, 32)",53.25572335016736
2,db2,2,0.01,320,"(32, 32)",42.7820859817626
2,db2,2,0.01,416,"(32, 32)",36.261644952812574
2,db2,2,0.01,512,"(32, 32)",31.716542314642123
2,db2,2,0.1,128,"(32, 32)",66.90828035027617
2,db2,2,0.1,224,"(32, 32)",49.666730846559844
2,db2,2,0.1,320,"(32, 32)",39.15272183365599
2,db2,2,0.1,416,"(32, 32)",30.70274232426916
2,db2,2,0.1,512,"(32, 32)",25.184684804337888
2,db2,2,1.0,128,"(32, 32)",99.02234996552087
2,db2,2,1.0,224,"(32, 32)",76.44181376127388
2,db2,2,1.0,320,"(32, 32)",56.400269116780926
2,db2,2,1.0,416,"(32, 32)",41.41867263715342
2,db2,2,1.0,512,"(32, 32)",32.94719279809961
2,db2,2,10.0,128,"(32, 32)",109.87928652511941
2,db2,2,10.0,224,"(32, 32)",85.99989130323772
2,db2,2,10.0,320,"(32, 32)",60.97747590128063
2,db2,2,10.0,416,"(32, 32)",43.61698503291827
2,db2,2,10.0,512,"(32, 32)",34.3879798381445
2,db2,3,0.01,128,"(32, 32)",37.17579628271801
2,db2,3,0.01,224,"(32, 32)",28.081705840482286
2,db2,3,0.01,320,"(32, 32)",23.60578920512047
2,db2,3,0.01,416,"(32, 32)",20.872432802151316
2,db2,3,0.01,512,"(32, 32)",18.870302942186242
2,db2,3,0.1,128,"(32, 32)",34.119768237705344
2,db2,3,0.1,224,"(32, 32)",24.49323202579807
2,db2,3,0.1,320,"(32, 32)",19.30491148364471
2,db2,3,0.1,416,"(32, 32)",16.42357657896914
2,db2,3,0.1,512,"(32, 32)",14.696710823207896
2,db2,3,1.0,128,"(32, 32)",66.90015444545281
2,db2,3,1.0,224,"(32, 32)",43.87889890382906
2,db2,3,1.0,320,"(32, 32)",31.113159072166734
2,db2,3,1.0,416,"(32, 32)",24.85266076317136
2,db2,3,1.0,512,"(32, 32)",19.327921022095907
2,db2,3,10.0,128,"(32, 32)",81.35669723918828
2,db2,3,10.0,224,"(32, 32)",51.12653126556962
2,db2,3,10.0,320,"(32, 32)",34.89721868849125
2,db2,3,10.0,416,"(32, 32)",26.457982346817413
2,db2,3,10.0,512,"(32, 32)",20.98864620820791
3,db2,1,0.01,128,"(32, 32)",108.8722470764321
3,db2,1,0.01,224,"(32, 32)",94.81218261263285
3,db2,1,0.01,320,"(32, 32)",82.4375062238273
3,db2,1,0.01,416,"(32, 32)",72.17229269121155
3,db2,1,0.01,512,"(32, 32)",63.76373756342912
3,db2,1,0.1,128,"(32, 32)",102.1898074388281
3,db2,1,0.1,224,"(32, 32)",88.50856276214442
3,db2,1,0.1,320,"(32, 32)",78.28059600739633
3,db2,1,0.1,416,"(32, 32)",70.23789238359348
3,db2,1,0.1,512,"(32, 32)",62.671145039018626
3,db2,1,1.0,128,"(32, 32)",115.46286597842786
3,db2,1,1.0,224,"(32, 32)",105.28979087963164
3,db2,1,1.0,320,"(32, 32)",96.49596108004077
3,db2,1,1.0,416,"(32, 32)",87.76237987341115
3,db2,1,1.0,512,"(32, 32)",79.84032421787765
3,db2,1,10.0,128,"(32, 32)",117.8200927878024
3,db2,1,10.0,224,"(32, 32)",107.75332732052881
3,db2,1,10.0,320,"(32, 32)",99.28778571450691
3,db2,1,10.0,416,"(32, 32)",91.01923261442603
3,db2,1,10.0,512,"(32, 32)",83.28591865779943
3,db2,2,0.01,128,"(32, 32)",73.03790511437259
3,db2,2,0.01,224,"(32, 32)",53.35447155161413
3,db2,2,0.01,320,"(32, 32)",42.601185161599105
3,db2,2,0.01,416,"(32, 32)",36.30919938180012
3,db2,2,0.01,512,"(32, 32)",31.50401995000406
3,db2,2,0.1,128,"(32, 32)",67.41487119505496
3,db2,2,0.1,224,"(32, 32)",49.324124782741926
3,db2,2,0.1,320,"(32, 32)",38.74622164117793
3,db2,2,0.1,416,"(32, 32)",30.690445395401404
3,db2,2,0.1,512,"(32, 32)",25.258187203617528
3,db2,2,1.0,128,"(32, 32)",98.84647616722353
3,db2,2,1.0,224,"(32, 32)",76.39885065802008
3,db2,2,1.0,320,"(32, 32)",55.64558814863686
3,db2,2,1.0,416,"(32, 32)",41.67403385390296
3,db2,2,1.0,512,"(32, 32)",32.32882809139452
3,db2,2,10.0,128,"(32, 32)",109.97929223822966
3,db2,2,10.0,224,"(32, 32)",85.57123529442855
3,db2,2,10.0,320,"(32, 32)",61.374909814585756
3,db2,2,10.0,416,"(32, 32)",44.84388636126371
3,db2,2,10.0,512,"(32, 32)",33.5554922733454
3,db2,3,0.01,128,"(32, 32)",37.715770385674375
3,db2,3,0.01,224,"(32, 32)",27.895823958501932
3,db2,3,0.01,320,"(32, 32)",23.30447012134622
3,db2,3,0.01,416,"(32, 32)",21.06190883814309
3,db2,3,0.01,512,"(32, 32)",18.7654904274161
3,db2,3,0.1,128,"(32, 32)",34.88026043995909
3,db2,3,0.1,224,"(32, 32)",24.52465459520105
3,db2,3,0.1,320,"(32, 32)",19.5458430834293
3,db2,3,0.1,416,"(32, 32)",17.001421812849866
3,db2,3,0.1,512,"(32, 32)",14.362120323375148
3,db2,3,1.0,128,"(32, 32)",67.14703132617234
3,db2,3,1.0,224,"(32, 32)",44.09409501382119
3,db2,3,1.0,320,"(32, 32)",31.31901863148893
3,db2,3,1.0,416,"(32, 32)",24.526552564530622
3,db2,3,1.0,512,"(32, 32)",19.714498844534752
3,db2,3,10.0,128,"(32, 32)",80.83875652355381
3,db2,3,10.0,224,"(32, 32)",50.80080640558297
3,db2,3,10.0,320,"(32, 32)",34.803915722100356
3,db2,3,10.0,416,"(32, 32)",26.01439730293424
3,db2,3,10.0,512,"(32, 32)",21.44516210173241
4,db2,1,0.01,128,"(32, 32)",109.10621696402178
4,db2,1,0.01,224,"(32, 32)",94.61377529555351
4,db2,1,0.01,320,"(32, 32)",82.5373379225225
4,db2,1,0.01,416,"(32, 32)",72.1904738833368
