rep,dwt_type,lv,alp,num_cell,filter_dim,error
1,db2,2,10.0,128,"(32, 32)",111.15602689628957
1,db2,2,10.0,224,"(32, 32)",91.0084144139465
1,db2,2,10.0,320,"(32, 32)",43.33331349201237
1,db2,2,10.0,416,"(32, 32)",20.002554825682726
1,db2,2,10.0,512,"(32, 32)",14.647037693533829
1,db2,3,0.01,128,"(32, 32)",42.96380262711438
1,db2,3,0.01,224,"(32, 32)",33.432424227777645
1,db2,3,0.01,320,"(32, 32)",26.885985857025037
1,db2,3,0.01,416,"(32, 32)",22.240847044395526
1,db2,3,0.01,512,"(32, 32)",18.124017833538453
1,db2,3,0.1,128,"(32, 32)",42.307902865386076
1,db2,3,0.1,224,"(32, 32)",25.707603811076506
1,db2,3,0.1,320,"(32, 32)",17.327410285044888
1,db2,3,0.1,416,"(32, 32)",12.500934108164083
1,db2,3,0.1,512,"(32, 32)",9.683941784475339
1,db2,3,1.0,128,"(32, 32)",69.24816484464108
1,db2,3,1.0,224,"(32, 32)",27.47947051425213
1,db2,3,1.0,320,"(32, 32)",17.19913413507604
1,db2,3,1.0,416,"(32, 32)",12.419420760402868
1,db2,3,1.0,512,"(32, 32)",9.726281881305885
1,db2,3,10.0,128,"(32, 32)",86.16093173639852
1,db2,3,10.0,224,"(32, 32)",27.928886502390814
1,db2,3,10.0,320,"(32, 32)",17.383693578442966
1,db2,3,10.0,416,"(32, 32)",13.323477503842987
1,db2,3,10.0,512,"(32, 32)",11.175136447559915
2,db2,1,0.01,128,"(32, 32)",104.86592930338294
2,db2,1,0.01,224,"(32, 32)",93.86247330351635
2,db2,1,0.01,320,"(32, 32)",85.36294282861748
2,db2,1,0.01,416,"(32, 32)",77.78627357797272
2,db2,1,0.01,512,"(32, 32)",70.43391462135226
2,db2,1,0.1,128,"(32, 32)",105.2999868684563
2,db2,1,0.1,224,"(32, 32)",94.05803700755247
2,db2,1,0.1,320,"(32, 32)",84.54004300511902
2,db2,1,0.1,416,"(32, 32)",75.23740976140925
2,db2,1,0.1,512,"(32, 32)",63.33744123421128
2,db2,1,1.0,128,"(32, 32)",116.31786286926503
2,db2,1,1.0,224,"(32, 32)",108.26910365733474
2,db2,1,1.0,320,"(32, 32)",100.1383102656587
2,db2,1,1.0,416,"(32, 32)",91.47712065017957
2,db2,1,1.0,512,"(32, 32)",79.24849742824787
2,db2,1,10.0,128,"(32, 32)",120.22445264577856
2,db2,1,10.0,224,"(32, 32)",111.76295860306513
2,db2,1,10.0,320,"(32, 32)",103.85681944392157
2,db2,1,10.0,416,"(32, 32)",95.17753297417693
2,db2,1,10.0,512,"(32, 32)",84.01011315275368
2,db2,2,0.01,128,"(32, 32)",78.35896200449646
2,db2,2,0.01,224,"(32, 32)",64.17608160661118
2,db2,2,0.01,320,"(32, 32)",54.4701298042657
2,db2,2,0.01,416,"(32, 32)",45.92271461511013
2,db2,2,0.01,512,"(32, 32)",38.55740886696013
2,db2,2,0.1,128,"(32, 32)",77.5376396329226
2,db2,2,0.1,224,"(32, 32)",59.455521219214674
2,db2,2,0.1,320,"(32, 32)",42.7783432635518
2,db2,2,0.1,416,"(32, 32)",27.325244086485053
2,db2,2,0.1,512,"(32, 32)",15.970085670465938
2,db2,2,1.0,128,"(32, 32)",102.99876671580493
2,db2,2,1.0,224,"(32, 32)",80.8739313588594
2,db2,2,1.0,320,"(32, 32)",39.98660483185593
2,db2,2,1.0,416,"(32, 32)",18.789747197925866
2,db2,2,1.0,512,"(32, 32)",12.22849597207333
2,db2,2,10.0,128,"(32, 32)",111.46159606341179
2,db2,2,10.0,224,"(32, 32)",90.79933172895898
2,db2,2,10.0,320,"(32, 32)",43.26264632012093
2,db2,2,10.0,416,"(32, 32)",20.294262395604346
2,db2,2,10.0,512,"(32, 32)",14.673320662478416
2,db2,3,0.01,128,"(32, 32)",43.92525857535576
2,db2,3,0.01,224,"(32, 32)",33.25482102628848
2,db2,3,0.01,320,"(32, 32)",27.0724678271433
2,db2,3,0.01,416,"(32, 32)",22.341148214313776
2,db2,3,0.01,512,"(32, 32)",18.43333134481593
2,db2,3,0.1,128,"(32, 32)",42.35652234903322
2,db2,3,0.1,224,"(32, 32)",25.302753069512583
2,db2,3,0.1,320,"(32, 32)",17.196072192050966
2,db2,3,0.1,416,"(32, 32)",12.544283436531366
2,db2,3,0.1,512,"(32, 32)",9.5689549818452
2,db2,3,1.0,128,"(32, 32)",69.19241326589461
2,db2,3,1.0,224,"(32, 32)",27.296606891191015
2,db2,3,1.0,320,"(32, 32)",17.212453144261808
2,db2,3,1.0,416,"(32, 32)",12.52590287965061
2,db2,3,1.0,512,"(32, 32)",9.71052404307626
2,db2,3,10.0,128,"(32, 32)",85.32020143952803
2,db2,3,10.0,224,"(32, 32)",28.597168164672777
2,db2,3,10.0,320,"(32, 32)",17.48354536036441
2,db2,3,10.0,416,"(32, 32)",13.4777634768311
2,db2,3,10.0,512,"(32, 32)",11.175008950453893
3,db2,1,0.01,128,"(32, 32)",104.87047669905557
3,db2,1,0.01,224,"(32, 32)",93.48184456222688
3,db2,1,0.01,320,"(32, 32)",85.50161344556273
3,db2,1,0.01,416,"(32, 32)",77.3698244844408
3,db2,1,0.01,512,"(32, 32)",69.99155576727199
3,db2,1,0.1,128,"(32, 32)",105.62705030990703
3,db2,1,0.1,224,"(32, 32)",93.91522366877146
3,db2,1,0.1,320,"(32, 32)",84.92542572319044
3,db2,1,0.1,416,"(32, 32)",75.02510932220355
3,db2,1,0.1,512,"(32, 32)",63.51179989491018
3,db2,1,1.0,128,"(32, 32)",116.15381498865924
3,db2,1,1.0,224,"(32, 32)",107.95779297100968
3,db2,1,1.0,320,"(32, 32)",100.07090078778526
3,db2,1,1.0,416,"(32, 32)",91.30662040397699
3,db2,1,1.0,512,"(32, 32)",79.19793511983815
3,db2,1,10.0,128,"(32, 32)",120.30696688524705
3,db2,1,10.0,224,"(32, 32)",111.85260743813909
3,db2,1,10.0,320,"(32, 32)",103.80398649597845
3,db2,1,10.0,416,"(32, 32)",95.33275315523892
3,db2,1,10.0,512,"(32, 32)",83.98196376444132
3,db2,2,0.01,128,"(32, 32)",78.50512178076656
3,db2,2,0.01,224,"(32, 32)",64.24134507126186
3,db2,2,0.01,320,"(32, 32)",54.159570168461634
3,db2,2,0.01,416,"(32, 32)",45.9209664207205
3,db2,2,0.01,512,"(32, 32)",39.28831599253209
3,db2,2,0.1,128,"(32, 32)",78.14055145510405
3,db2,2,0.1,224,"(32, 32)",59.633917727449116
3,db2,2,0.1,320,"(32, 32)",41.94667041645975
3,db2,2,0.1,416,"(32, 32)",26.539869653860332
3,db2,2,0.1,512,"(32, 32)",15.628490698947855
3,db2,2,1.0,128,"(32, 32)",102.72879392367645
3,db2,2,1.0,224,"(32, 32)",81.23981024595533
3,db2,2,1.0,320,"(32, 32)",40.94266734816528
