rep,alp,num_cell,filter_dim,error
6,1,320,"(32, 32)",42.74437864
6,1,416,"(32, 32)",39.30179565
6,1,512,"(32, 32)",36.17149202
6,10,128,"(32, 32)",54.40480235
6,10,224,"(32, 32)",48.19094623
6,10,320,"(32, 32)",43.76370356
6,10,416,"(32, 32)",39.87497714
6,10,512,"(32, 32)",36.53448216
7,0.01,128,"(32, 32)",62.85380461
7,0.01,224,"(32, 32)",57.07523397
7,0.01,320,"(32, 32)",52.50016454
7,0.01,416,"(32, 32)",48.60965787
7,0.01,512,"(32, 32)",45.33837085
7,0.1,128,"(32, 32)",56.87057511
7,0.1,224,"(32, 32)",50.69633936
7,0.1,320,"(32, 32)",45.81626217
7,0.1,416,"(32, 32)",42.29101008
7,0.1,512,"(32, 32)",39.1610068
7,1,128,"(32, 32)",52.13640592
7,1,224,"(32, 32)",46.96881794
7,1,320,"(32, 32)",42.70922625
7,1,416,"(32, 32)",39.2599464
7,1,512,"(32, 32)",36.2640776
7,10,128,"(32, 32)",54.29539429
7,10,224,"(32, 32)",47.97579465
7,10,320,"(32, 32)",43.45459566
7,10,416,"(32, 32)",39.7236812
7,10,512,"(32, 32)",36.60467111
8,0.01,128,"(32, 32)",62.93566346
8,0.01,224,"(32, 32)",56.99377826
8,0.01,320,"(32, 32)",52.65391576
8,0.01,416,"(32, 32)",48.65184308
8,0.01,512,"(32, 32)",45.09521533
8,0.1,128,"(32, 32)",57.11625488
8,0.1,224,"(32, 32)",50.28239046
8,0.1,320,"(32, 32)",46.01603278
8,0.1,416,"(32, 32)",42.15760936
8,0.1,512,"(32, 32)",39.21278415
8,1,128,"(32, 32)",52.09332473
8,1,224,"(32, 32)",47.02096488
8,1,320,"(32, 32)",42.70190857
8,1,416,"(32, 32)",39.27268569
8,1,512,"(32, 32)",36.27074749
8,10,128,"(32, 32)",54.29647777
8,10,224,"(32, 32)",48.24775829
8,10,320,"(32, 32)",43.52369124
8,10,416,"(32, 32)",39.77083071
8,10,512,"(32, 32)",36.53626931
9,0.01,128,"(32, 32)",63.06771941
9,0.01,224,"(32, 32)",57.25352224
9,0.01,320,"(32, 32)",52.60136825
9,0.01,416,"(32, 32)",48.40287766
9,0.01,512,"(32, 32)",45.06416802
9,0.1,128,"(32, 32)",56.91428144
9,0.1,224,"(32, 32)",50.53357234
9,0.1,320,"(32, 32)",45.95345319
9,0.1,416,"(32, 32)",42.4327349
9,0.1,512,"(32, 32)",39.16438612
9,1,128,"(32, 32)",52.12677131
9,1,224,"(32, 32)",46.81133914
9,1,320,"(32, 32)",42.85259976
9,1,416,"(32, 32)",39.11661072
9,1,512,"(32, 32)",36.45386448
9,10,128,"(32, 32)",54.26959181
9,10,224,"(32, 32)",48.12915081
9,10,320,"(32, 32)",43.59306767
9,10,416,"(32, 32)",39.8288397
9,10,512,"(32, 32)",36.66825843
0,0.01,32,"(16, 16)",61.54832687
0,0.01,56,"(16, 16)",55.94692331
0,0.01,80,"(16, 16)",51.41548121
0,0.01,104,"(16, 16)",47.88257178
0,0.01,128,"(16, 16)",44.55997069
0,0.1,32,"(16, 16)",53.05617839
0,0.1,56,"(16, 16)",47.32784475
0,0.1,80,"(16, 16)",43.44036333
0,0.1,104,"(16, 16)",40.14160359
0,0.1,128,"(16, 16)",37.33679032
0,1,32,"(16, 16)",55.64744756
0,1,56,"(16, 16)",48.75494641
0,1,80,"(16, 16)",44.23085129
0,1,104,"(16, 16)",40.24671856
0,1,128,"(16, 16)",37.22599864
0,10,32,"(16, 16)",58.08731436
0,10,56,"(16, 16)",50.1867434
0,10,80,"(16, 16)",45.08107537
0,10,104,"(16, 16)",40.8864925
0,10,128,"(16, 16)",37.56593198
1,0.01,32,"(16, 16)",61.74074701
1,0.01,56,"(16, 16)",56.12647645
1,0.01,80,"(16, 16)",51.67052756
1,0.01,104,"(16, 16)",47.81015025
1,0.01,128,"(16, 16)",44.41019267
1,0.1,32,"(16, 16)",53.27274424
1,0.1,56,"(16, 16)",47.50965
1,0.1,80,"(16, 16)",43.36120338
1,0.1,104,"(16, 16)",39.94119164
1,0.1,128,"(16, 16)",37.02602209
1,1,32,"(16, 16)",55.61708901
1,1,56,"(16, 16)",48.7343784
1,1,80,"(16, 16)",44.23242679
1,1,104,"(16, 16)",40.37051792
1,1,128,"(16, 16)",37.2601538
1,10,32,"(16, 16)",58.50163547
1,10,56,"(16, 16)",50.24753382
1,10,80,"(16, 16)",44.92314112
1,10,104,"(16, 16)",40.89187689
1,10,128,"(16, 16)",37.50473928
2,0.01,32,"(16, 16)",61.53602916
2,0.01,56,"(16, 16)",56.41457718
2,0.01,80,"(16, 16)",51.56656959
2,0.01,104,"(16, 16)",47.71620656
2,0.01,128,"(16, 16)",44.51836642
2,0.1,32,"(16, 16)",52.77268447
2,0.1,56,"(16, 16)",47.59357218
2,0.1,80,"(16, 16)",43.38247977
2,0.1,104,"(16, 16)",40.13930592
2,0.1,128,"(16, 16)",37.24906951
2,1,32,"(16, 16)",55.531381
2,1,56,"(16, 16)",48.88285698
2,1,80,"(16, 16)",44.09027895
2,1,104,"(16, 16)",40.25662063
2,1,128,"(16, 16)",37.30264515
2,10,32,"(16, 16)",58.82186358
2,10,56,"(16, 16)",50.30913696
2,10,80,"(16, 16)",44.90455564
2,10,104,"(16, 16)",40.96460154
2,10,128,"(16, 16)",37.55080451
3,0.01,32,"(16, 16)",61.67485373
3,0.01,56,"(16, 16)",56.00908914
3,0.01,80,"(16, 16)",51.45252365
3,0.01,104,"(16, 16)",47.91621004
3,0.01,128,"(16, 16)",44.26057252
3,0.1,32,"(16, 16)",52.94656377
3,0.1,56,"(16, 16)",47.63755789
3,0.1,80,"(16, 16)",43.2842055
3,0.1,104,"(16, 16)",40.10350483
3,0.1,128,"(16, 16)",37.19309866
3,1,32,"(16, 16)",56.0507868
3,1,56,"(16, 16)",48.76132857
3,1,80,"(16, 16)",44.10671073
3,1,104,"(16, 16)",40.33852281
3,1,128,"(16, 16)",37.20966552
3,10,32,"(16, 16)",58.70814156
3,10,56,"(16, 16)",50.4058878
3,10,80,"(16, 16)",44.97946928
