rep,alp,num_cell,filter_dim,error
6,1,320,"(32, 32)",40.31130847
6,1,416,"(32, 32)",35.80116351
6,1,512,"(32, 32)",31.16243934
6,10,128,"(32, 32)",53.57741799
6,10,224,"(32, 32)",46.49646967
6,10,320,"(32, 32)",40.92818735
6,10,416,"(32, 32)",36.4871685
6,10,512,"(32, 32)",32.49970867
7,0.01,128,"(32, 32)",62.92172177
7,0.01,224,"(32, 32)",56.7130039
7,0.01,320,"(32, 32)",51.5485363
7,0.01,416,"(32, 32)",46.83002587
7,0.01,512,"(32, 32)",42.27106592
7,0.1,128,"(32, 32)",57.37565051
7,0.1,224,"(32, 32)",49.71916685
7,0.1,320,"(32, 32)",43.8088602
7,0.1,416,"(32, 32)",39.17903515
7,0.1,512,"(32, 32)",34.68040022
7,1,128,"(32, 32)",51.53696089
7,1,224,"(32, 32)",45.65731353
7,1,320,"(32, 32)",40.48508923
7,1,416,"(32, 32)",35.64631278
7,1,512,"(32, 32)",31.14456812
7,10,128,"(32, 32)",53.55996937
7,10,224,"(32, 32)",46.49825558
7,10,320,"(32, 32)",41.06194162
7,10,416,"(32, 32)",36.275487
7,10,512,"(32, 32)",32.43687929
8,0.01,128,"(32, 32)",63.07855398
8,0.01,224,"(32, 32)",56.60838384
8,0.01,320,"(32, 32)",51.56180427
8,0.01,416,"(32, 32)",46.7654816
8,0.01,512,"(32, 32)",42.18258372
8,0.1,128,"(32, 32)",57.30447315
8,0.1,224,"(32, 32)",49.79086512
8,0.1,320,"(32, 32)",44.03073832
8,0.1,416,"(32, 32)",39.13899639
8,0.1,512,"(32, 32)",34.77104412
8,1,128,"(32, 32)",51.64699021
8,1,224,"(32, 32)",45.55812853
8,1,320,"(32, 32)",40.5307924
8,1,416,"(32, 32)",35.64690826
8,1,512,"(32, 32)",31.13090955
8,10,128,"(32, 32)",53.55647748
8,10,224,"(32, 32)",46.45691366
8,10,320,"(32, 32)",40.95767232
8,10,416,"(32, 32)",36.44159284
8,10,512,"(32, 32)",32.52142537
9,0.01,128,"(32, 32)",63.14026262
9,0.01,224,"(32, 32)",56.54852598
9,0.01,320,"(32, 32)",51.56809425
9,0.01,416,"(32, 32)",46.78325123
9,0.01,512,"(32, 32)",42.26374052
9,0.1,128,"(32, 32)",57.04348023
9,0.1,224,"(32, 32)",49.64750453
9,0.1,320,"(32, 32)",43.87453384
9,0.1,416,"(32, 32)",39.16258394
9,0.1,512,"(32, 32)",34.62697174
9,1,128,"(32, 32)",51.61193971
9,1,224,"(32, 32)",45.4572191
9,1,320,"(32, 32)",40.32599366
9,1,416,"(32, 32)",35.71165512
9,1,512,"(32, 32)",31.00101217
9,10,128,"(32, 32)",53.43385808
9,10,224,"(32, 32)",46.44160458
9,10,320,"(32, 32)",40.92254398
9,10,416,"(32, 32)",36.3686199
9,10,512,"(32, 32)",32.52292623
0,0.01,8,"(8, 8)",63.46736015
0,0.01,14,"(8, 8)",56.6514361
0,0.01,20,"(8, 8)",51.12992473
0,0.01,26,"(8, 8)",46.36497249
0,0.01,32,"(8, 8)",41.88238237
0,0.1,8,"(8, 8)",56.97681762
0,0.1,14,"(8, 8)",47.52553013
0,0.1,20,"(8, 8)",41.67539027
0,0.1,26,"(8, 8)",36.64014905
0,0.1,32,"(8, 8)",32.1776687
0,1,8,"(8, 8)",85.79786134
0,1,14,"(8, 8)",55.8361261
