rep,alp,num_cell,cell_size,sparse_freq,error
0,0.01,8,50,2,30.975746634708205
0,0.01,8,50,4,31.548574809002833
0,0.01,8,50,6,30.957604551572352
0,0.01,8,50,8,30.99076742693619
0,0.01,8,100,2,30.75252919534262
0,0.01,8,100,4,32.010049016951335
0,0.01,8,100,6,30.96325345345039
0,0.01,8,100,8,30.75236378089972
0,0.01,8,200,2,30.815935295452984
0,0.01,8,200,4,31.498959054853014
0,0.01,8,200,6,31.335442823729625
0,0.01,8,200,8,31.03601068433245
0,0.01,14,50,2,28.566022993719905
0,0.01,14,50,4,29.686246311419296
0,0.01,14,50,6,29.290657868972776
0,0.01,14,50,8,29.041152759823166
0,0.01,14,100,2,28.547294926804177
0,0.01,14,100,4,29.433344197370253
0,0.01,14,100,6,29.187512938927473
0,0.01,14,100,8,29.121717996641745
0,0.01,14,200,2,28.57831454540067
0,0.01,14,200,4,29.877267919032757
0,0.01,14,200,6,28.682168103551053
0,0.01,14,200,8,29.324099264921585
0,0.01,20,50,2,25.853718579815492
0,0.01,20,50,4,26.318710282911102
0,0.01,20,50,6,25.341531639989633
0,0.01,20,50,8,25.103474292203195
0,0.01,20,100,2,25.6648805995938
0,0.01,20,100,4,26.185225285538305
0,0.01,20,100,6,25.6353610793938
0,0.01,20,100,8,24.967268688581502
0,0.01,20,200,2,25.991211652997595
0,0.01,20,200,4,25.611958008631216
0,0.01,20,200,6,26.147094290875938
0,0.01,20,200,8,24.265655890922265
0,0.01,26,50,2,21.49372479436472
0,0.01,26,50,4,21.655028381681372
0,0.01,26,50,6,20.527319777281434
0,0.01,26,50,8,20.058558567094266
0,0.01,26,100,2,22.36318026723925
0,0.01,26,100,4,22.064045968072158
0,0.01,26,100,6,20.461839187755256
0,0.01,26,100,8,20.064926618664778
0,0.01,26,200,2,21.993356048273153
0,0.01,26,200,4,21.281234315482703
0,0.01,26,200,6,20.360936934191777
0,0.01,26,200,8,19.550857540747753
0,0.01,32,50,2,17.24103467965166
0,0.01,32,50,4,15.413895820223045
0,0.01,32,50,6,14.0571618014661
0,0.01,32,50,8,14.912008968432435
0,0.01,32,100,2,17.31579073813029
0,0.01,32,100,4,15.491759540073586
0,0.01,32,100,6,14.307642749672151
0,0.01,32,100,8,14.041185561332542
0,0.01,32,200,2,17.02816974188068
0,0.01,32,200,4,15.852023219994233
0,0.01,32,200,6,15.728783865137848
0,0.01,32,200,8,14.271119512579732
0,0.1,8,50,2,18.078914799825665
0,0.1,8,50,4,17.6643924808851
0,0.1,8,50,6,17.709531185551235
0,0.1,8,50,8,16.965047021289696
0,0.1,8,100,2,17.934571243065932
0,0.1,8,100,4,17.55847415055903
0,0.1,8,100,6,17.65797769651345
0,0.1,8,100,8,16.866629778151953
0,0.1,8,200,2,17.90003771644753
0,0.1,8,200,4,17.657000122339937
0,0.1,8,200,6,17.175322390533168
0,0.1,8,200,8,17.17429813022556
