rep,alp,num_cell,cell_size,sparse_freq,filter_dim,error
0,0.1,26,200,6,"(8, 8)",6.533586148
0,0.1,26,200,8,"(8, 8)",6.903000287
0,0.1,32,50,2,"(8, 8)",5.100205152
0,0.1,32,50,4,"(8, 8)",5.461492813
0,0.1,32,50,6,"(8, 8)",5.819906131
0,0.1,32,50,8,"(8, 8)",6.109971898
0,0.1,32,100,2,"(8, 8)",5.114646316
0,0.1,32,100,4,"(8, 8)",5.423615014
0,0.1,32,100,6,"(8, 8)",5.858403891
0,0.1,32,100,8,"(8, 8)",6.106577357
0,0.1,32,200,2,"(8, 8)",5.101761024
0,0.1,32,200,4,"(8, 8)",5.475380328
0,0.1,32,200,6,"(8, 8)",5.792314818
0,0.1,32,200,8,"(8, 8)",6.096886087
0,1,8,50,2,"(8, 8)",14.28642009
0,1,8,50,4,"(8, 8)",13.16485735
0,1,8,50,6,"(8, 8)",12.94410957
0,1,8,50,8,"(8, 8)",12.97463628
0,1,8,100,2,"(8, 8)",14.23416972
0,1,8,100,4,"(8, 8)",12.99589063
0,1,8,100,6,"(8, 8)",13.11001298
0,1,8,100,8,"(8, 8)",12.87580158
0,1,8,200,2,"(8, 8)",14.04141608
0,1,8,200,4,"(8, 8)",12.94146299
0,1,8,200,6,"(8, 8)",12.79670643
0,1,8,200,8,"(8, 8)",12.81257786
0,1,14,50,2,"(8, 8)",9.934318561
0,1,14,50,4,"(8, 8)",9.58502954
0,1,14,50,6,"(8, 8)",9.877074012
0,1,14,50,8,"(8, 8)",10.08171607
0,1,14,100,2,"(8, 8)",9.92161144
0,1,14,100,4,"(8, 8)",9.584448465
0,1,14,100,6,"(8, 8)",9.864124152
0,1,14,100,8,"(8, 8)",10.10308992
0,1,14,200,2,"(8, 8)",9.720156651
0,1,14,200,4,"(8, 8)",9.61689536
0,1,14,200,6,"(8, 8)",9.956861337
0,1,14,200,8,"(8, 8)",10.04805425
0,1,20,50,2,"(8, 8)",7.771998532
0,1,20,50,4,"(8, 8)",8.163800599
0,1,20,50,6,"(8, 8)",8.554781142
0,1,20,50,8,"(8, 8)",8.880976854
0,1,20,100,2,"(8, 8)",7.835675829
0,1,20,100,4,"(8, 8)",8.160399335
0,1,20,100,6,"(8, 8)",8.557834217
0,1,20,100,8,"(8, 8)",8.852219479
0,1,20,200,2,"(8, 8)",7.856051218
0,1,20,200,4,"(8, 8)",8.192065182
0,1,20,200,6,"(8, 8)",8.526027548
0,1,20,200,8,"(8, 8)",8.869406858
0,1,26,50,2,"(8, 8)",6.730830346
0,1,26,50,4,"(8, 8)",7.440363229
0,1,26,50,6,"(8, 8)",7.909474556
0,1,26,50,8,"(8, 8)",8.169732537
0,1,26,100,2,"(8, 8)",6.71994306
0,1,26,100,4,"(8, 8)",7.414521954
0,1,26,100,6,"(8, 8)",7.936116496
0,1,26,100,8,"(8, 8)",8.207436321
0,1,26,200,2,"(8, 8)",6.757066207
0,1,26,200,4,"(8, 8)",7.460258733
0,1,26,200,6,"(8, 8)",7.887204356
0,1,26,200,8,"(8, 8)",8.215318783
0,1,32,50,2,"(8, 8)",6.087001409
0,1,32,50,4,"(8, 8)",7.009144396
0,1,32,50,6,"(8, 8)",7.48180777
0,1,32,50,8,"(8, 8)",7.78565799
0,1,32,100,2,"(8, 8)",6.158376878
0,1,32,100,4,"(8, 8)",6.980956741
0,1,32,100,6,"(8, 8)",7.486843777
0,1,32,100,8,"(8, 8)",7.764191708
0,1,32,200,2,"(8, 8)",6.127296484
0,1,32,200,4,"(8, 8)",7.01153622
0,1,32,200,6,"(8, 8)",7.450388536
0,1,32,200,8,"(8, 8)",7.791874629
0,10,8,50,2,"(8, 8)",14.36229655
0,10,8,50,4,"(8, 8)",13.43142563
0,10,8,50,6,"(8, 8)",13.31212175
0,10,8,50,8,"(8, 8)",13.58490025
0,10,8,100,2,"(8, 8)",14.4839968
0,10,8,100,4,"(8, 8)",13.32531165
0,10,8,100,6,"(8, 8)",13.24877046
0,10,8,100,8,"(8, 8)",13.57805673
0,10,8,200,2,"(8, 8)",14.65529332
0,10,8,200,4,"(8, 8)",13.24916448
0,10,8,200,6,"(8, 8)",13.41110405
0,10,8,200,8,"(8, 8)",13.42054992
0,10,14,50,2,"(8, 8)",10.74927376
0,10,14,50,4,"(8, 8)",11.07157689
0,10,14,50,6,"(8, 8)",11.58619975
0,10,14,50,8,"(8, 8)",11.93436938
0,10,14,100,2,"(8, 8)",10.59850463
0,10,14,100,4,"(8, 8)",11.07964174
0,10,14,100,6,"(8, 8)",11.58799531
0,10,14,100,8,"(8, 8)",11.92986657
0,10,14,200,2,"(8, 8)",10.7311959
0,10,14,200,4,"(8, 8)",11.05006028
0,10,14,200,6,"(8, 8)",11.63571166
0,10,14,200,8,"(8, 8)",11.91578721
0,10,20,50,2,"(8, 8)",9.394625657
0,10,20,50,4,"(8, 8)",10.40153511
0,10,20,50,6,"(8, 8)",10.97918257
0,10,20,50,8,"(8, 8)",11.31540622
0,10,20,100,2,"(8, 8)",9.486780104
0,10,20,100,4,"(8, 8)",10.3612856
0,10,20,100,6,"(8, 8)",10.96553327
