rep,alp,num_cell,cell_size,sparse_freq,error
0,0.01,8,50,2,26.898552727320904
0,0.01,8,50,4,27.504760330173983
0,0.01,8,50,6,27.18224913654751
0,0.01,8,50,8,27.211812340700106
0,0.01,8,100,2,27.194651117038465
0,0.01,8,100,4,27.718712910968176
0,0.01,8,100,6,27.823228528440936
0,0.01,8,100,8,27.49230648274107
0,0.01,8,200,2,27.134260363601886
0,0.01,8,200,4,27.945696419927977
0,0.01,8,200,6,27.62086462768249
0,0.01,8,200,8,27.38072151765977
0,0.01,14,50,2,24.441792767166152
0,0.01,14,50,4,26.062451918303783
0,0.01,14,50,6,25.879965411698166
0,0.01,14,50,8,25.09952836828419
0,0.01,14,100,2,24.70626720347772
0,0.01,14,100,4,25.484155931121762
0,0.01,14,100,6,25.494542678588704
0,0.01,14,100,8,25.323258739082217
0,0.01,14,200,2,24.56722728481224
0,0.01,14,200,4,25.628849466124603
0,0.01,14,200,6,25.39685755837387
0,0.01,14,200,8,25.36294810659271
0,0.01,20,50,2,21.9812498819906
0,0.01,20,50,4,22.354154541164025
0,0.01,20,50,6,21.90505442710302
0,0.01,20,50,8,21.81513143586829
0,0.01,20,100,2,21.89777814489647
0,0.01,20,100,4,22.448691549594116
0,0.01,20,100,6,21.456364997535598
0,0.01,20,100,8,22.232651966107078
0,0.01,20,200,2,22.150471567339544
0,0.01,20,200,4,22.124122990182386
0,0.01,20,200,6,22.10760193310034
0,0.01,20,200,8,21.97483565580433
0,0.01,26,50,2,18.53952320296457
0,0.01,26,50,4,17.975236919258304
0,0.01,26,50,6,17.29960973222249
0,0.01,26,50,8,17.03330099372755
0,0.01,26,100,2,18.3964631205751
0,0.01,26,100,4,17.749979905667818
0,0.01,26,100,6,17.671569551750725
0,0.01,26,100,8,17.13230617625637
0,0.01,26,200,2,18.228998615761846
0,0.01,26,200,4,17.848357078533365
0,0.01,26,200,6,17.526656747561017
0,0.01,26,200,8,17.802435136164483
0,0.01,32,50,2,14.13840489952906
0,0.01,32,50,4,13.481492955649697
0,0.01,32,50,6,13.10728319686175
0,0.01,32,50,8,12.822143795832119
0,0.01,32,100,2,14.100254900637061
0,0.01,32,100,4,12.954654690709344
0,0.01,32,100,6,12.537492143927079
0,0.01,32,100,8,12.871666485976892
0,0.01,32,200,2,14.197584827973728
0,0.01,32,200,4,12.998304256467502
0,0.01,32,200,6,13.052822050524783
0,0.01,32,200,8,13.218881592873364
0,0.1,8,50,2,18.795454344173386
0,0.1,8,50,4,18.88572903301322
0,0.1,8,50,6,18.417717928103883
0,0.1,8,50,8,18.37359831777168
0,0.1,8,100,2,18.895103813425244
0,0.1,8,100,4,18.60506175907734
0,0.1,8,100,6,18.43710347411927
0,0.1,8,100,8,18.441761313205742
0,0.1,8,200,2,18.931380085641447
0,0.1,8,200,4,18.725065920297382
0,0.1,8,200,6,18.414243662432185
0,0.1,8,200,8,18.479401332851815
0,0.1,14,50,2,15.285884848586557
0,0.1,14,50,4,15.078665894605292
0,0.1,14,50,6,14.925781505577726
0,0.1,14,50,8,14.93906933828516
0,0.1,14,100,2,15.263183148565707
0,0.1,14,100,4,15.274919380437247
0,0.1,14,100,6,15.158003558150277
0,0.1,14,100,8,14.928440299406674
0,0.1,14,200,2,15.503543694779825
