rep,alp,num_cell,cell_size,sparse_freq,filter_dim,error
0,0.1,512,100,4,"(32, 32)",11.017737393038686
0,0.1,512,100,6,"(32, 32)",12.161429353580077
0,0.1,512,100,8,"(32, 32)",12.652044958748116
0,0.1,512,200,2,"(32, 32)",7.401260175886408
0,0.1,512,200,4,"(32, 32)",11.036332383396516
0,0.1,512,200,6,"(32, 32)",12.163929217618396
0,0.1,512,200,8,"(32, 32)",12.599860363141104
0,1.0,128,50,2,"(32, 32)",15.421356285206985
0,1.0,128,50,4,"(32, 32)",15.167573391705524
0,1.0,128,50,6,"(32, 32)",15.245963766299921
0,1.0,128,50,8,"(32, 32)",15.344506643250407
0,1.0,128,100,2,"(32, 32)",15.561098947232379
0,1.0,128,100,4,"(32, 32)",15.062971305596472
0,1.0,128,100,6,"(32, 32)",15.128845356553478
0,1.0,128,100,8,"(32, 32)",15.33832437029956
0,1.0,128,200,2,"(32, 32)",15.5736973935733
0,1.0,128,200,4,"(32, 32)",15.12572080297565
0,1.0,128,200,6,"(32, 32)",15.271096193029745
0,1.0,128,200,8,"(32, 32)",15.357182172553852
0,1.0,224,50,2,"(32, 32)",13.355164124149091
0,1.0,224,50,4,"(32, 32)",14.064290657477114
0,1.0,224,50,6,"(32, 32)",14.485461872230912
0,1.0,224,50,8,"(32, 32)",14.788969770121659
0,1.0,224,100,2,"(32, 32)",13.306767335280316
0,1.0,224,100,4,"(32, 32)",14.057484050092446
0,1.0,224,100,6,"(32, 32)",14.458504726189231
0,1.0,224,100,8,"(32, 32)",14.712926664299415
0,1.0,224,200,2,"(32, 32)",13.359555177421672
0,1.0,224,200,4,"(32, 32)",13.98152112770401
0,1.0,224,200,6,"(32, 32)",14.467019029067542
0,1.0,224,200,8,"(32, 32)",14.770155761558614
0,1.0,320,50,2,"(32, 32)",12.044885770478562
0,1.0,320,50,4,"(32, 32)",13.585155216659919
0,1.0,320,50,6,"(32, 32)",14.23466590223981
0,1.0,320,50,8,"(32, 32)",14.5765145772808
0,1.0,320,100,2,"(32, 32)",11.994762390251172
0,1.0,320,100,4,"(32, 32)",13.547365806690722
0,1.0,320,100,6,"(32, 32)",14.19386330294351
0,1.0,320,100,8,"(32, 32)",14.564867081040559
0,1.0,320,200,2,"(32, 32)",11.963609193980263
0,1.0,320,200,4,"(32, 32)",13.596388847902562
0,1.0,320,200,6,"(32, 32)",14.206783818001034
0,1.0,320,200,8,"(32, 32)",14.545133131984334
0,1.0,416,50,2,"(32, 32)",11.274105440841456
0,1.0,416,50,4,"(32, 32)",13.457992045481385
0,1.0,416,50,6,"(32, 32)",14.10645406741897
0,1.0,416,50,8,"(32, 32)",14.486134970525345
0,1.0,416,100,2,"(32, 32)",11.194517353620816
0,1.0,416,100,4,"(32, 32)",13.362905006944013
0,1.0,416,100,6,"(32, 32)",14.073207999977992
0,1.0,416,100,8,"(32, 32)",14.422428471782471
0,1.0,416,200,2,"(32, 32)",11.276643356703586
0,1.0,416,200,4,"(32, 32)",13.372195653955487
0,1.0,416,200,6,"(32, 32)",14.080325074344653
0,1.0,416,200,8,"(32, 32)",14.432108611431941
0,1.0,512,50,2,"(32, 32)",10.903792752093889
0,1.0,512,50,4,"(32, 32)",13.327447943355898
0,1.0,512,50,6,"(32, 32)",13.995968919517281
0,1.0,512,50,8,"(32, 32)",14.438167936389124
0,1.0,512,100,2,"(32, 32)",10.811454060851949
0,1.0,512,100,4,"(32, 32)",13.278612875824262
0,1.0,512,100,6,"(32, 32)",13.975603645403584
0,1.0,512,100,8,"(32, 32)",14.380092083844378
0,1.0,512,200,2,"(32, 32)",10.782790098898083
0,1.0,512,200,4,"(32, 32)",13.269303421791234
0,1.0,512,200,6,"(32, 32)",13.957063091422187
0,1.0,512,200,8,"(32, 32)",14.377201342995487
0,10.0,128,50,2,"(32, 32)",15.51144454279482
0,10.0,128,50,4,"(32, 32)",15.861831489827079
0,10.0,128,50,6,"(32, 32)",16.06465805340415
0,10.0,128,50,8,"(32, 32)",16.2603214056665
0,10.0,128,100,2,"(32, 32)",15.462436443374015
0,10.0,128,100,4,"(32, 32)",15.849018853563317
0,10.0,128,100,6,"(32, 32)",16.09763172335701
0,10.0,128,100,8,"(32, 32)",16.27107163701263
0,10.0,128,200,2,"(32, 32)",15.499151637333277
0,10.0,128,200,4,"(32, 32)",15.855923823037951
0,10.0,128,200,6,"(32, 32)",16.10456997003266
0,10.0,128,200,8,"(32, 32)",16.215892268029528
0,10.0,224,50,2,"(32, 32)",14.715844647154958
0,10.0,224,50,4,"(32, 32)",15.627655047860568
0,10.0,224,50,6,"(32, 32)",15.912929848545996
0,10.0,224,50,8,"(32, 32)",16.100221388343147
0,10.0,224,100,2,"(32, 32)",14.687613109396583
0,10.0,224,100,4,"(32, 32)",15.635342036337475
0,10.0,224,100,6,"(32, 32)",15.881513926216954
0,10.0,224,100,8,"(32, 32)",16.073423715909808
0,10.0,224,200,2,"(32, 32)",14.694203376996029
0,10.0,224,200,4,"(32, 32)",15.618290307407685
0,10.0,224,200,6,"(32, 32)",15.857040699515586
0,10.0,224,200,8,"(32, 32)",16.074723991528085
0,10.0,320,50,2,"(32, 32)",14.40135099643297
0,10.0,320,50,4,"(32, 32)",15.537706595019426
0,10.0,320,50,6,"(32, 32)",15.820222559543721
0,10.0,320,50,8,"(32, 32)",16.063901610023745
0,10.0,320,100,2,"(32, 32)",14.388964297286444
0,10.0,320,100,4,"(32, 32)",15.503215456273661
0,10.0,320,100,6,"(32, 32)",15.827680093852045
0,10.0,320,100,8,"(32, 32)",15.996612309398426
0,10.0,320,200,2,"(32, 32)",14.393331233900964
0,10.0,320,200,4,"(32, 32)",15.498679074022753
0,10.0,320,200,6,"(32, 32)",15.804676638574493
0,10.0,320,200,8,"(32, 32)",15.999240261160097
0,10.0,416,50,2,"(32, 32)",14.309662650108566
0,10.0,416,50,4,"(32, 32)",15.509614362220452
0,10.0,416,50,6,"(32, 32)",15.813592081467226
0,10.0,416,50,8,"(32, 32)",16.019455048892162
0,10.0,416,100,2,"(32, 32)",14.269946543667599
0,10.0,416,100,4,"(32, 32)",15.495315336038866
0,10.0,416,100,6,"(32, 32)",15.793064642687481
0,10.0,416,100,8,"(32, 32)",15.94961888925257
0,10.0,416,200,2,"(32, 32)",14.249346667922936
0,10.0,416,200,4,"(32, 32)",15.476597130711191
0,10.0,416,200,6,"(32, 32)",15.781109195496542
0,10.0,416,200,8,"(32, 32)",15.965143860342922
0,10.0,512,50,2,"(32, 32)",14.204725252990269
0,10.0,512,50,4,"(32, 32)",15.474901860284906
0,10.0,512,50,6,"(32, 32)",15.809805176781376
0,10.0,512,50,8,"(32, 32)",15.991600096648336
0,10.0,512,100,2,"(32, 32)",14.201696745818968
0,10.0,512,100,4,"(32, 32)",15.440230525771462
0,10.0,512,100,6,"(32, 32)",15.76482347732572
0,10.0,512,100,8,"(32, 32)",15.966345917752504
0,10.0,512,200,2,"(32, 32)",14.143348996305606
0,10.0,512,200,4,"(32, 32)",15.423141041030949
0,10.0,512,200,6,"(32, 32)",15.759157576338563
0,10.0,512,200,8,"(32, 32)",15.953108979010688
1,0.01,128,50,2,"(32, 32)",66.94868793184746
1,0.01,128,50,4,"(32, 32)",85.05612833683043
1,0.01,128,50,6,"(32, 32)",92.73421553716149
1,0.01,128,50,8,"(32, 32)",97.70768491181447
1,0.01,128,100,2,"(32, 32)",66.1267172981625
1,0.01,128,100,4,"(32, 32)",84.39072392639227
1,0.01,128,100,6,"(32, 32)",92.68228052404854
1,0.01,128,100,8,"(32, 32)",95.27035088788527
1,0.01,128,200,2,"(32, 32)",66.44776100881592
1,0.01,128,200,4,"(32, 32)",85.1362775370679
1,0.01,128,200,6,"(32, 32)",91.98284370673127
1,0.01,128,200,8,"(32, 32)",95.567575662967
1,0.01,224,50,2,"(32, 32)",55.608054025067574
1,0.01,224,50,4,"(32, 32)",75.23360621930031
1,0.01,224,50,6,"(32, 32)",83.23649379925789
1,0.01,224,50,8,"(32, 32)",86.00478431789493
1,0.01,224,100,2,"(32, 32)",56.095351682445106
1,0.01,224,100,4,"(32, 32)",74.25454050688532
1,0.01,224,100,6,"(32, 32)",83.70612725603698
1,0.01,224,100,8,"(32, 32)",86.24900485584195
1,0.01,224,200,2,"(32, 32)",55.05845365692535
1,0.01,224,200,4,"(32, 32)",75.29579728291918
1,0.01,224,200,6,"(32, 32)",83.16252248475037
1,0.01,224,200,8,"(32, 32)",84.9467217588009
1,0.01,320,50,2,"(32, 32)",42.769106917262654
1,0.01,320,50,4,"(32, 32)",57.00102330008717
1,0.01,320,50,6,"(32, 32)",59.30330230498233
1,0.01,320,50,8,"(32, 32)",59.54150014026046
1,0.01,320,100,2,"(32, 32)",41.88662239596537
1,0.01,320,100,4,"(32, 32)",56.4791906402023
1,0.01,320,100,6,"(32, 32)",59.504825845124884
1,0.01,320,100,8,"(32, 32)",57.56359292317158
1,0.01,320,200,2,"(32, 32)",42.23304936695653
1,0.01,320,200,4,"(32, 32)",55.56561088649793
1,0.01,320,200,6,"(32, 32)",60.29735571913557
1,0.01,320,200,8,"(32, 32)",60.04182330642094
1,0.01,416,50,2,"(32, 32)",26.75445740541844
1,0.01,416,50,4,"(32, 32)",27.50903858419818
1,0.01,416,50,6,"(32, 32)",23.029246932855482
1,0.01,416,50,8,"(32, 32)",24.110627552853774
1,0.01,416,100,2,"(32, 32)",27.293849836393576
1,0.01,416,100,4,"(32, 32)",29.885721429596302
1,0.01,416,100,6,"(32, 32)",28.36863832117703
1,0.01,416,100,8,"(32, 32)",20.8280797615905
1,0.01,416,200,2,"(32, 32)",27.08993915301784
1,0.01,416,200,4,"(32, 32)",27.234333119275387
1,0.01,416,200,6,"(32, 32)",26.110597939104128
1,0.01,416,200,8,"(32, 32)",22.828349922424618
1,0.01,512,50,2,"(32, 32)",10.875594199598288
1,0.01,512,50,4,"(32, 32)",8.402327859846666
1,0.01,512,50,6,"(32, 32)",9.24238417247684
1,0.01,512,50,8,"(32, 32)",9.73011120629739
1,0.01,512,100,2,"(32, 32)",11.874063555284746
1,0.01,512,100,4,"(32, 32)",8.430282783878729
