rep,alp,num_cell,cell_size,sparse_freq,filter_dim,error
0,0.1,416,200,6,"(32, 32)",12.43920181
0,0.1,416,200,8,"(32, 32)",12.84212898
0,0.1,512,50,2,"(32, 32)",7.437381006
0,0.1,512,50,4,"(32, 32)",11.13878181
0,0.1,512,50,6,"(32, 32)",12.23139506
0,0.1,512,50,8,"(32, 32)",12.74269822
0,0.1,512,100,2,"(32, 32)",7.435456067
0,0.1,512,100,4,"(32, 32)",11.01773739
0,0.1,512,100,6,"(32, 32)",12.16142935
0,0.1,512,100,8,"(32, 32)",12.65204496
0,0.1,512,200,2,"(32, 32)",7.401260176
0,0.1,512,200,4,"(32, 32)",11.03633238
0,0.1,512,200,6,"(32, 32)",12.16392922
0,0.1,512,200,8,"(32, 32)",12.59986036
0,1,128,50,2,"(32, 32)",15.42135629
0,1,128,50,4,"(32, 32)",15.16757339
0,1,128,50,6,"(32, 32)",15.24596377
0,1,128,50,8,"(32, 32)",15.34450664
0,1,128,100,2,"(32, 32)",15.56109895
0,1,128,100,4,"(32, 32)",15.06297131
0,1,128,100,6,"(32, 32)",15.12884536
0,1,128,100,8,"(32, 32)",15.33832437
0,1,128,200,2,"(32, 32)",15.57369739
0,1,128,200,4,"(32, 32)",15.1257208
0,1,128,200,6,"(32, 32)",15.27109619
0,1,128,200,8,"(32, 32)",15.35718217
0,1,224,50,2,"(32, 32)",13.35516412
0,1,224,50,4,"(32, 32)",14.06429066
0,1,224,50,6,"(32, 32)",14.48546187
0,1,224,50,8,"(32, 32)",14.78896977
0,1,224,100,2,"(32, 32)",13.30676734
0,1,224,100,4,"(32, 32)",14.05748405
0,1,224,100,6,"(32, 32)",14.45850473
0,1,224,100,8,"(32, 32)",14.71292666
0,1,224,200,2,"(32, 32)",13.35955518
0,1,224,200,4,"(32, 32)",13.98152113
0,1,224,200,6,"(32, 32)",14.46701903
0,1,224,200,8,"(32, 32)",14.77015576
0,1,320,50,2,"(32, 32)",12.04488577
0,1,320,50,4,"(32, 32)",13.58515522
0,1,320,50,6,"(32, 32)",14.2346659
0,1,320,50,8,"(32, 32)",14.57651458
0,1,320,100,2,"(32, 32)",11.99476239
0,1,320,100,4,"(32, 32)",13.54736581
0,1,320,100,6,"(32, 32)",14.1938633
0,1,320,100,8,"(32, 32)",14.56486708
0,1,320,200,2,"(32, 32)",11.96360919
0,1,320,200,4,"(32, 32)",13.59638885
0,1,320,200,6,"(32, 32)",14.20678382
0,1,320,200,8,"(32, 32)",14.54513313
0,1,416,50,2,"(32, 32)",11.27410544
0,1,416,50,4,"(32, 32)",13.45799205
0,1,416,50,6,"(32, 32)",14.10645407
0,1,416,50,8,"(32, 32)",14.48613497
0,1,416,100,2,"(32, 32)",11.19451735
0,1,416,100,4,"(32, 32)",13.36290501
0,1,416,100,6,"(32, 32)",14.073208
0,1,416,100,8,"(32, 32)",14.42242847
0,1,416,200,2,"(32, 32)",11.27664336
0,1,416,200,4,"(32, 32)",13.37219565
0,1,416,200,6,"(32, 32)",14.08032507
0,1,416,200,8,"(32, 32)",14.43210861
0,1,512,50,2,"(32, 32)",10.90379275
0,1,512,50,4,"(32, 32)",13.32744794
0,1,512,50,6,"(32, 32)",13.99596892
0,1,512,50,8,"(32, 32)",14.43816794
0,1,512,100,2,"(32, 32)",10.81145406
0,1,512,100,4,"(32, 32)",13.27861288
0,1,512,100,6,"(32, 32)",13.97560365
0,1,512,100,8,"(32, 32)",14.38009208
