rep,dwt_type,lv,alp,num_cell,filter_dim,error
0,db2,1,0.01,128,"(32, 32)",182.90884911146992
0,db2,1,0.01,224,"(32, 32)",164.1336786513385
0,db2,1,0.01,320,"(32, 32)",148.6216804640601
0,db2,1,0.01,416,"(32, 32)",135.03513322652506
0,db2,1,0.01,512,"(32, 32)",122.0647112152405
0,db2,1,0.1,128,"(32, 32)",183.96016289854956
0,db2,1,0.1,224,"(32, 32)",163.68553024685727
0,db2,1,0.1,320,"(32, 32)",147.77995537529398
0,db2,1,0.1,416,"(32, 32)",131.3484580017352
0,db2,1,0.1,512,"(32, 32)",112.05503846755654
0,db2,1,1.0,128,"(32, 32)",201.94418470298064
0,db2,1,1.0,224,"(32, 32)",187.65155785734976
0,db2,1,1.0,320,"(32, 32)",173.81095100379255
0,db2,1,1.0,416,"(32, 32)",158.3170209947677
0,db2,1,1.0,512,"(32, 32)",137.01916802795867
0,db2,1,10.0,128,"(32, 32)",209.36822129848446
0,db2,1,10.0,224,"(32, 32)",194.4096995692887
0,db2,1,10.0,320,"(32, 32)",180.144661459698
0,db2,1,10.0,416,"(32, 32)",165.01915426338758
0,db2,1,10.0,512,"(32, 32)",145.10754828454938
0,db2,2,0.01,128,"(32, 32)",137.88675174103776
0,db2,2,0.01,224,"(32, 32)",113.96476211034994
0,db2,2,0.01,320,"(32, 32)",97.75144301810374
0,db2,2,0.01,416,"(32, 32)",83.980704543703
0,db2,2,0.01,512,"(32, 32)",72.28049166125311
0,db2,2,0.1,128,"(32, 32)",137.4050204768814
0,db2,2,0.1,224,"(32, 32)",108.91674051863588
0,db2,2,0.1,320,"(32, 32)",82.04640333904224
0,db2,2,0.1,416,"(32, 32)",61.07062878574991
0,db2,2,0.1,512,"(32, 32)",45.60876368249852
0,db2,2,1.0,128,"(32, 32)",179.43863320731907
0,db2,2,1.0,224,"(32, 32)",143.92972453918793
0,db2,2,1.0,320,"(32, 32)",90.16646357552813
0,db2,2,1.0,416,"(32, 32)",58.027942667990054
0,db2,2,1.0,512,"(32, 32)",43.94743987906267
0,db2,2,10.0,128,"(32, 32)",194.82460528235467
0,db2,2,10.0,224,"(32, 32)",161.23686162371385
0,db2,2,10.0,320,"(32, 32)",95.12548202412572
0,db2,2,10.0,416,"(32, 32)",60.114405565049125
0,db2,2,10.0,512,"(32, 32)",46.34934798093773
0,db2,3,0.01,128,"(32, 32)",85.810275099682
0,db2,3,0.01,224,"(32, 32)",68.0720080695677
0,db2,3,0.01,320,"(32, 32)",57.57196411132542
0,db2,3,0.01,416,"(32, 32)",50.10506687849237
0,db2,3,0.01,512,"(32, 32)",43.61962809457048
0,db2,3,0.1,128,"(32, 32)",83.46513497691038
0,db2,3,0.1,224,"(32, 32)",60.05408278282767
0,db2,3,0.1,320,"(32, 32)",48.18155218839425
0,db2,3,0.1,416,"(32, 32)",40.17739309175514
0,db2,3,0.1,512,"(32, 32)",34.47094625495027
0,db2,3,1.0,128,"(32, 32)",126.25752831098903
0,db2,3,1.0,224,"(32, 32)",72.16093321909395
0,db2,3,1.0,320,"(32, 32)",53.2325282200598
0,db2,3,1.0,416,"(32, 32)",43.926135312184655
0,db2,3,1.0,512,"(32, 32)",36.76699679985326
0,db2,3,10.0,128,"(32, 32)",153.64455818845423
0,db2,3,10.0,224,"(32, 32)",74.99261257664355
0,db2,3,10.0,320,"(32, 32)",53.74699496363355
0,db2,3,10.0,416,"(32, 32)",44.16577598585376
